,day,county_name,accepted,outstanding,rejected,cancelled,spoiled,sent,returned,acc_abs,acc_early
0,2024-08-19,STATEWIDE,0,0,0,0,0,2,0,0,0
1,2024-08-20,STATEWIDE,0,0,0,0,0,3,0,0,0
2,2024-08-21,STATEWIDE,0,0,0,0,0,4,0,0,0
3,2024-08-22,STATEWIDE,0,0,0,0,0,5,0,0,0
4,2024-08-23,STATEWIDE,0,0,0,0,0,9,0,0,0
5,2024-08-24,STATEWIDE,0,0,0,0,0,9,0,0,0
6,2024-08-25,STATEWIDE,0,0,0,0,0,9,0,0,0
7,2024-08-26,STATEWIDE,1,0,0,0,0,9,1,1,0
8,2024-08-27,STATEWIDE,1,0,0,0,0,10,1,1,0
9,2024-08-28,STATEWIDE,1,0,0,0,0,12,1,1,0
10,2024-08-29,STATEWIDE,2,0,0,0,0,13,2,2,0
11,2024-08-30,STATEWIDE,2,0,0,0,0,13,2,2,0
12,2024-08-31,STATEWIDE,2,0,0,0,0,13,2,2,0
13,2024-09-01,STATEWIDE,2,0,0,0,0,13,2,2,0
14,2024-09-02,STATEWIDE,2,0,0,0,0,13,2,2,0
15,2024-09-03,STATEWIDE,2,0,0,0,0,14,2,2,0
16,2024-09-04,STATEWIDE,2,0,0,0,0,14,2,2,0
17,2024-09-05,STATEWIDE,2,0,0,0,0,15,2,2,0
18,2024-09-06,STATEWIDE,2,0,0,0,0,16,2,2,0
19,2024-09-07,STATEWIDE,2,0,0,0,0,16,2,2,0
20,2024-09-08,STATEWIDE,2,0,0,0,0,16,2,2,0
21,2024-09-09,STATEWIDE,2,0,0,1,0,22,2,2,0
22,2024-09-10,STATEWIDE,2,0,0,1,0,22,2,2,0
23,2024-09-11,STATEWIDE,2,0,0,1,0,23,2,2,0
24,2024-09-12,STATEWIDE,2,0,0,1,0,25,2,2,0
25,2024-09-13,STATEWIDE,2,0,0,1,0,25,2,2,0
26,2024-09-14,STATEWIDE,2,0,0,1,0,25,2,2,0
27,2024-09-15,STATEWIDE,2,0,0,1,0,25,2,2,0
28,2024-09-16,STATEWIDE,2,0,0,1,0,28,2,2,0
29,2024-09-17,STATEWIDE,2,0,0,14,0,431,2,2,0
30,2024-09-18,STATEWIDE,2,0,0,20,0,542,2,2,0
31,2024-09-19,STATEWIDE,4,0,0,64,0,11907,4,4,0
32,2024-09-20,STATEWIDE,33,0,0,79,2,12738,35,33,0
33,2024-09-21,STATEWIDE,33,0,0,87,2,13273,35,33,0
34,2024-09-22,STATEWIDE,33,0,0,87,2,13303,35,33,0
35,2024-09-23,STATEWIDE,72,0,0,89,3,13776,75,72,0
36,2024-09-24,STATEWIDE,122,0,0,90,3,14174,125,122,0
37,2024-09-25,STATEWIDE,194,0,0,94,3,14532,197,194,0
38,2024-09-26,STATEWIDE,246,0,0,96,3,14817,249,246,0
39,2024-09-27,STATEWIDE,256,0,0,96,3,14967,259,256,0
40,2024-09-28,STATEWIDE,258,0,0,96,3,15061,261,258,0
41,2024-09-29,STATEWIDE,258,0,0,97,3,15085,261,258,0
42,2024-09-30,STATEWIDE,553,0,0,97,3,15509,556,553,0
43,2024-10-01,STATEWIDE,828,0,0,102,3,15742,831,828,0
44,2024-10-02,STATEWIDE,1101,0,1,105,4,16234,1106,1101,0
45,2024-10-03,STATEWIDE,1324,0,2,107,4,16649,1330,1324,0
46,2024-10-04,STATEWIDE,1583,0,3,112,4,17051,1590,1583,0
47,2024-10-05,STATEWIDE,1644,0,4,115,4,17307,1652,1644,0
48,2024-10-06,STATEWIDE,1645,0,4,116,4,17316,1653,1645,0
49,2024-10-07,STATEWIDE,2032,0,5,1353,4,198305,2041,2032,0
50,2024-10-08,STATEWIDE,2623,0,10,1453,12,219337,2645,2623,0
51,2024-10-09,STATEWIDE,3650,0,16,1498,17,232222,3683,3650,0
52,2024-10-10,STATEWIDE,5920,0,22,1551,28,241645,5970,5920,0
53,2024-10-11,STATEWIDE,9971,0,50,1592,42,251365,10063,9971,0
54,2024-10-12,STATEWIDE,10445,0,57,1603,43,253558,10545,10445,0
55,2024-10-13,STATEWIDE,10483,0,59,1611,43,253882,10585,10483,0
56,2024-10-14,STATEWIDE,13988,0,80,1641,55,259089,14123,13988,0
57,2024-10-15,STATEWIDE,341886,0,213,3867,84,268214,342183,28761,313125
58,2024-10-16,STATEWIDE,630973,0,320,5582,103,276617,631396,39083,591890
59,2024-10-17,STATEWIDE,897240,0,374,7178,123,284277,897737,50022,847218
