,day,county_name,accepted,outstanding,rejected,cancelled,spoiled,sent,returned
0,2024-08-19,STATEWIDE,0,3,0,0,0,3,0
1,2024-08-20,STATEWIDE,0,4,0,0,0,4,0
2,2024-08-21,STATEWIDE,0,5,0,0,0,5,0
3,2024-08-22,STATEWIDE,0,6,0,0,0,6,0
4,2024-08-23,STATEWIDE,2,9,0,0,0,11,2
5,2024-08-24,STATEWIDE,2,9,0,0,0,11,2
6,2024-08-25,STATEWIDE,2,9,0,0,0,11,2
7,2024-08-26,STATEWIDE,2,9,0,0,0,11,2
8,2024-08-27,STATEWIDE,2,10,0,0,0,12,2
9,2024-08-28,STATEWIDE,2,12,0,0,0,14,2
10,2024-08-29,STATEWIDE,3,12,0,0,0,15,3
11,2024-08-30,STATEWIDE,3,13,0,0,0,16,3
12,2024-08-31,STATEWIDE,3,13,0,0,0,16,3
13,2024-09-01,STATEWIDE,3,13,0,0,0,16,3
14,2024-09-02,STATEWIDE,3,13,0,0,0,16,3
15,2024-09-03,STATEWIDE,3,14,0,0,0,17,3
16,2024-09-04,STATEWIDE,3,14,0,0,0,17,3
17,2024-09-05,STATEWIDE,3,15,0,0,0,18,3
18,2024-09-06,STATEWIDE,3,16,0,0,0,19,3
19,2024-09-07,STATEWIDE,3,16,0,0,0,19,3
20,2024-09-08,STATEWIDE,3,16,0,0,0,19,3
21,2024-09-09,STATEWIDE,3,20,0,1,0,24,3
22,2024-09-10,STATEWIDE,3,20,0,1,0,24,3
23,2024-09-11,STATEWIDE,3,21,0,1,0,25,3
24,2024-09-12,STATEWIDE,3,23,0,1,0,27,3
25,2024-09-13,STATEWIDE,3,23,0,1,0,27,3
26,2024-09-14,STATEWIDE,3,23,0,1,0,27,3
27,2024-09-15,STATEWIDE,3,23,0,1,0,27,3
28,2024-09-16,STATEWIDE,3,27,0,1,0,31,3
29,2024-09-17,STATEWIDE,108,319,0,12,0,430,108
30,2024-09-18,STATEWIDE,155,383,0,15,2,543,157
31,2024-09-19,STATEWIDE,2146,9782,15,37,3,11951,2164
32,2024-09-20,STATEWIDE,2262,10483,15,47,3,12780,2280
33,2024-09-21,STATEWIDE,2287,10753,15,54,3,13311,2305
34,2024-09-22,STATEWIDE,2292,10780,15,54,3,13343,2310
35,2024-09-23,STATEWIDE,2349,11190,17,55,3,13814,2369
36,2024-09-24,STATEWIDE,2387,11547,17,56,3,14211,2407
37,2024-09-25,STATEWIDE,2428,11857,17,59,3,14566,2448
38,2024-09-26,STATEWIDE,2447,12120,17,60,3,14850,2467
39,2024-09-27,STATEWIDE,2455,12258,17,60,3,15000,2475
40,2024-09-28,STATEWIDE,2460,12347,17,60,3,15094,2480
41,2024-09-29,STATEWIDE,2462,12367,17,60,3,15118,2482
42,2024-09-30,STATEWIDE,2484,12768,17,60,3,15543,2504
43,2024-10-01,STATEWIDE,2495,12987,17,63,3,15773,2515
44,2024-10-02,STATEWIDE,2517,13449,17,66,3,16261,2537
45,2024-10-03,STATEWIDE,2531,13846,17,68,3,16677,2551
46,2024-10-04,STATEWIDE,2546,14227,17,70,3,17077,2566
47,2024-10-05,STATEWIDE,2546,14481,17,70,3,17335,2566
48,2024-10-06,STATEWIDE,2546,14487,17,71,3,17342,2566
49,2024-10-07,STATEWIDE,3252,192387,22,120,15,198390,3289
50,2024-10-08,STATEWIDE,3269,213386,22,120,17,219675,3308
51,2024-10-09,STATEWIDE,3277,225651,22,122,17,232295,3316
52,2024-10-10,STATEWIDE,3277,228470,22,122,17,235332,3316
