,day,county_name,accepted,outstanding,rejected,cancelled,spoiled,sent,returned,acc_abs,acc_early
0,2024-08-19,STATEWIDE,0,0,0,0,0,2,0,0,0
1,2024-08-20,STATEWIDE,0,0,0,0,0,3,0,0,0
2,2024-08-21,STATEWIDE,0,0,0,0,0,4,0,0,0
3,2024-08-22,STATEWIDE,0,0,0,0,0,5,0,0,0
4,2024-08-23,STATEWIDE,0,0,0,0,0,9,0,0,0
5,2024-08-24,STATEWIDE,0,0,0,0,0,9,0,0,0
6,2024-08-25,STATEWIDE,0,0,0,0,0,9,0,0,0
7,2024-08-26,STATEWIDE,1,0,0,0,0,9,1,1,0
8,2024-08-27,STATEWIDE,1,0,0,0,0,10,1,1,0
9,2024-08-28,STATEWIDE,1,0,0,0,0,11,1,1,0
10,2024-08-29,STATEWIDE,2,0,0,0,0,12,2,2,0
11,2024-08-30,STATEWIDE,2,0,0,0,0,12,2,2,0
12,2024-08-31,STATEWIDE,2,0,0,0,0,12,2,2,0
13,2024-09-01,STATEWIDE,3,0,0,0,0,12,3,3,0
14,2024-09-02,STATEWIDE,3,0,0,0,0,12,3,3,0
15,2024-09-03,STATEWIDE,3,0,0,0,0,13,3,3,0
16,2024-09-04,STATEWIDE,3,0,0,0,0,13,3,3,0
17,2024-09-05,STATEWIDE,3,0,0,0,0,14,3,3,0
18,2024-09-06,STATEWIDE,3,0,0,0,0,15,3,3,0
19,2024-09-07,STATEWIDE,3,0,0,0,0,15,3,3,0
20,2024-09-08,STATEWIDE,3,0,0,0,0,15,3,3,0
21,2024-09-09,STATEWIDE,3,0,0,1,0,21,3,3,0
22,2024-09-10,STATEWIDE,3,0,0,1,0,21,3,3,0
23,2024-09-11,STATEWIDE,3,0,0,1,0,22,3,3,0
24,2024-09-12,STATEWIDE,3,0,0,1,0,24,3,3,0
25,2024-09-13,STATEWIDE,3,0,0,1,0,25,3,3,0
26,2024-09-14,STATEWIDE,3,0,0,1,0,25,3,3,0
27,2024-09-15,STATEWIDE,3,0,0,1,0,25,3,3,0
28,2024-09-16,STATEWIDE,6,0,0,1,0,28,6,5,1
29,2024-09-17,STATEWIDE,6,0,0,16,0,429,6,5,1
30,2024-09-18,STATEWIDE,6,0,0,24,0,540,6,5,1
31,2024-09-19,STATEWIDE,8,0,0,101,0,11840,8,7,1
32,2024-09-20,STATEWIDE,37,0,0,118,2,12665,39,36,1
33,2024-09-21,STATEWIDE,37,0,0,126,2,13198,39,36,1
34,2024-09-22,STATEWIDE,37,0,0,126,2,13228,39,36,1
35,2024-09-23,STATEWIDE,76,0,0,128,3,13697,79,75,1
36,2024-09-24,STATEWIDE,126,0,0,131,3,14095,129,125,1
37,2024-09-25,STATEWIDE,197,0,0,135,3,14452,200,196,1
38,2024-09-26,STATEWIDE,249,0,0,137,3,14735,252,248,1
39,2024-09-27,STATEWIDE,259,0,0,139,3,14884,262,258,1
40,2024-09-28,STATEWIDE,261,0,0,140,3,14979,264,260,1
41,2024-09-29,STATEWIDE,261,0,0,141,3,15003,264,260,1
42,2024-09-30,STATEWIDE,556,0,0,142,3,15425,559,555,1
43,2024-10-01,STATEWIDE,830,0,0,149,3,15657,833,829,1
44,2024-10-02,STATEWIDE,1105,0,1,152,4,16148,1110,1104,1
45,2024-10-03,STATEWIDE,1329,0,1,154,4,16560,1334,1328,1
46,2024-10-04,STATEWIDE,1591,0,1,160,4,16960,1596,1590,1
47,2024-10-05,STATEWIDE,1653,0,1,163,4,17214,1658,1652,1
48,2024-10-06,STATEWIDE,1654,0,1,164,4,17224,1659,1653,1
49,2024-10-07,STATEWIDE,2044,0,1,2923,4,194686,2049,2043,1
50,2024-10-08,STATEWIDE,2655,0,3,3124,12,215053,2670,2654,1
51,2024-10-09,STATEWIDE,3683,0,7,3259,17,227624,3707,3682,1
52,2024-10-10,STATEWIDE,5981,0,9,3376,28,236875,6018,5980,1
53,2024-10-11,STATEWIDE,10054,0,19,3483,42,246262,10115,10053,1
54,2024-10-12,STATEWIDE,10538,0,20,3520,43,248379,10601,10537,1
55,2024-10-13,STATEWIDE,10576,0,22,3529,43,248697,10641,10575,1
56,2024-10-14,STATEWIDE,14566,0,35,3614,56,253761,14657,14565,1
57,2024-10-15,STATEWIDE,343708,0,107,5889,85,262691,343900,30296,313412
58,2024-10-16,STATEWIDE,635131,0,185,7676,103,270920,635419,42192,592939
59,2024-10-17,STATEWIDE,911824,0,304,9334,131,278526,912259,59177,852647
60,2024-10-18,STATEWIDE,1218708,0,438,10848,162,286729,1219308,77212,1141496
61,2024-10-19,STATEWIDE,1394928,0,531,11826,167,290940,1395626,88734,1306194
62,2024-10-20,STATEWIDE,1442554,0,543,12191,172,292197,1443269,93731,1348823
63,2024-10-21,STATEWIDE,1710767,0,704,13588,197,301766,1711668,112621,1598146
64,2024-10-22,STATEWIDE,1951964,0,773,14822,219,309568,1952956,127188,1824776
65,2024-10-23,STATEWIDE,2168904,0,847,15867,229,317299,2169980,140777,2028127
66,2024-10-24,STATEWIDE,2368787,0,903,16902,238,324623,2369928,148516,2220271
