,day,county_name,accepted,outstanding,rejected,cancelled,spoiled,sent,returned,acc_abs,acc_early
0,2024-08-19,STATEWIDE,0,0,0,0,0,2,0,0,0
1,2024-08-20,STATEWIDE,0,0,0,0,0,3,0,0,0
2,2024-08-21,STATEWIDE,0,0,0,0,0,4,0,0,0
3,2024-08-22,STATEWIDE,0,0,0,0,0,5,0,0,0
4,2024-08-23,STATEWIDE,0,0,0,0,0,9,0,0,0
5,2024-08-24,STATEWIDE,0,0,0,0,0,9,0,0,0
6,2024-08-25,STATEWIDE,0,0,0,0,0,9,0,0,0
7,2024-08-26,STATEWIDE,1,0,0,0,0,9,1,1,0
8,2024-08-27,STATEWIDE,1,0,0,0,0,10,1,1,0
9,2024-08-28,STATEWIDE,1,0,0,0,0,12,1,1,0
10,2024-08-29,STATEWIDE,2,0,0,0,0,13,2,2,0
11,2024-08-30,STATEWIDE,2,0,0,0,0,13,2,2,0
12,2024-08-31,STATEWIDE,2,0,0,0,0,13,2,2,0
13,2024-09-01,STATEWIDE,3,0,0,0,0,13,3,3,0
14,2024-09-02,STATEWIDE,3,0,0,0,0,13,3,3,0
15,2024-09-03,STATEWIDE,3,0,0,0,0,14,3,3,0
16,2024-09-04,STATEWIDE,3,0,0,0,0,14,3,3,0
17,2024-09-05,STATEWIDE,3,0,0,0,0,15,3,3,0
18,2024-09-06,STATEWIDE,3,0,0,0,0,16,3,3,0
19,2024-09-07,STATEWIDE,3,0,0,0,0,16,3,3,0
20,2024-09-08,STATEWIDE,3,0,0,0,0,16,3,3,0
21,2024-09-09,STATEWIDE,3,0,0,1,0,22,3,3,0
22,2024-09-10,STATEWIDE,3,0,0,1,0,22,3,3,0
23,2024-09-11,STATEWIDE,3,0,0,1,0,23,3,3,0
24,2024-09-12,STATEWIDE,3,0,0,1,0,25,3,3,0
25,2024-09-13,STATEWIDE,3,0,0,1,0,25,3,3,0
26,2024-09-14,STATEWIDE,3,0,0,1,0,25,3,3,0
27,2024-09-15,STATEWIDE,3,0,0,1,0,25,3,3,0
28,2024-09-16,STATEWIDE,4,0,1,1,0,28,5,4,0
29,2024-09-17,STATEWIDE,4,0,1,14,0,430,5,4,0
30,2024-09-18,STATEWIDE,4,0,1,22,0,541,5,4,0
31,2024-09-19,STATEWIDE,6,0,1,78,0,11881,7,6,0
32,2024-09-20,STATEWIDE,35,0,1,92,2,12711,38,35,0
33,2024-09-21,STATEWIDE,35,0,1,100,2,13245,38,35,0
34,2024-09-22,STATEWIDE,35,0,1,100,2,13275,38,35,0
35,2024-09-23,STATEWIDE,74,0,1,102,3,13746,78,74,0
36,2024-09-24,STATEWIDE,124,0,1,103,3,14144,128,124,0
37,2024-09-25,STATEWIDE,195,0,1,107,3,14501,199,195,0
38,2024-09-26,STATEWIDE,247,0,1,109,3,14785,251,247,0
39,2024-09-27,STATEWIDE,257,0,1,111,3,14936,261,257,0
40,2024-09-28,STATEWIDE,259,0,1,112,3,15031,263,259,0
41,2024-09-29,STATEWIDE,259,0,1,113,3,15055,263,259,0
42,2024-09-30,STATEWIDE,554,0,1,114,3,15478,558,554,0
43,2024-10-01,STATEWIDE,829,0,1,120,3,15710,833,829,0
44,2024-10-02,STATEWIDE,1103,0,2,123,4,16202,1109,1103,0
45,2024-10-03,STATEWIDE,1326,0,3,125,4,16618,1333,1326,0
46,2024-10-04,STATEWIDE,1586,0,3,130,4,17020,1593,1586,0
47,2024-10-05,STATEWIDE,1647,0,4,133,4,17276,1655,1647,0
48,2024-10-06,STATEWIDE,1648,0,4,134,4,17285,1656,1648,0
49,2024-10-07,STATEWIDE,2036,0,5,1885,4,196886,2045,2036,0
50,2024-10-08,STATEWIDE,2637,0,10,2021,12,217670,2659,2637,0
51,2024-10-09,STATEWIDE,3665,0,15,2093,17,230437,3697,3665,0
52,2024-10-10,STATEWIDE,5957,0,20,2167,28,239805,6005,5957,0
53,2024-10-11,STATEWIDE,10015,0,45,2235,42,249384,10102,10015,0
54,2024-10-12,STATEWIDE,10493,0,51,2254,43,251543,10587,10493,0
55,2024-10-13,STATEWIDE,10531,0,53,2263,43,251865,10627,10531,0
56,2024-10-14,STATEWIDE,14509,0,69,2319,55,257020,14633,14509,0
57,2024-10-15,STATEWIDE,343289,0,216,4562,83,266049,343588,29900,313389
58,2024-10-16,STATEWIDE,633922,0,338,6303,101,274370,634361,41383,592539
59,2024-10-17,STATEWIDE,908810,0,439,7935,128,282054,909377,57144,851666
60,2024-10-18,STATEWIDE,1210289,0,550,9414,156,290350,1210995,71063,1139226
61,2024-10-19,STATEWIDE,1382404,0,631,10377,160,294639,1383195,79443,1302961
62,2024-10-20,STATEWIDE,1425092,0,634,10738,164,295656,1425890,80081,1345011
