,day,county_name,accepted,outstanding,rejected,cancelled,spoiled,sent,returned
0,2024-08-19,STATEWIDE,2,0,0,0,0,3,2
1,2024-08-20,STATEWIDE,2,0,0,0,0,4,2
2,2024-08-21,STATEWIDE,2,0,0,0,0,5,2
3,2024-08-22,STATEWIDE,2,0,0,0,0,6,2
4,2024-08-23,STATEWIDE,3,0,0,0,0,11,3
5,2024-08-24,STATEWIDE,3,0,0,0,0,11,3
6,2024-08-25,STATEWIDE,3,0,0,0,0,11,3
7,2024-08-26,STATEWIDE,4,0,0,0,0,11,4
8,2024-08-27,STATEWIDE,4,0,0,0,0,12,4
9,2024-08-28,STATEWIDE,4,0,0,0,0,14,4
10,2024-08-29,STATEWIDE,5,0,0,0,0,15,5
11,2024-08-30,STATEWIDE,5,0,0,0,0,15,5
12,2024-08-31,STATEWIDE,5,0,0,0,0,15,5
13,2024-09-01,STATEWIDE,5,0,0,0,0,15,5
14,2024-09-02,STATEWIDE,5,0,0,0,0,15,5
15,2024-09-03,STATEWIDE,5,0,0,0,0,16,5
16,2024-09-04,STATEWIDE,5,0,0,0,0,16,5
17,2024-09-05,STATEWIDE,5,0,0,0,0,17,5
18,2024-09-06,STATEWIDE,5,0,0,0,0,18,5
19,2024-09-07,STATEWIDE,5,0,0,0,0,18,5
20,2024-09-08,STATEWIDE,5,0,0,0,0,18,5
21,2024-09-09,STATEWIDE,5,0,0,1,0,23,5
22,2024-09-10,STATEWIDE,5,0,0,1,0,23,5
23,2024-09-11,STATEWIDE,5,0,0,1,0,24,5
24,2024-09-12,STATEWIDE,5,0,0,1,0,26,5
25,2024-09-13,STATEWIDE,5,0,0,1,0,26,5
26,2024-09-14,STATEWIDE,5,0,0,1,0,26,5
27,2024-09-15,STATEWIDE,5,0,0,1,0,26,5
28,2024-09-16,STATEWIDE,5,0,0,1,0,30,5
29,2024-09-17,STATEWIDE,5,0,0,12,0,426,5
30,2024-09-18,STATEWIDE,5,0,0,15,0,535,5
31,2024-09-19,STATEWIDE,7,0,0,39,0,11942,7
32,2024-09-20,STATEWIDE,36,0,0,51,2,12770,38
33,2024-09-21,STATEWIDE,36,0,0,59,2,13299,38
34,2024-09-22,STATEWIDE,36,0,0,59,2,13331,38
35,2024-09-23,STATEWIDE,75,0,0,60,3,13803,78
36,2024-09-24,STATEWIDE,125,0,0,61,3,14201,128
37,2024-09-25,STATEWIDE,197,0,0,64,3,14556,200
38,2024-09-26,STATEWIDE,249,0,0,65,3,14840,252
39,2024-09-27,STATEWIDE,259,0,0,65,3,14990,262
40,2024-09-28,STATEWIDE,261,0,0,65,3,15084,264
41,2024-09-29,STATEWIDE,261,0,0,66,3,15107,264
42,2024-09-30,STATEWIDE,556,0,0,66,3,15532,559
43,2024-10-01,STATEWIDE,830,0,0,69,3,15761,833
44,2024-10-02,STATEWIDE,1101,0,1,72,4,16250,1106
45,2024-10-03,STATEWIDE,1323,0,2,74,4,16667,1329
46,2024-10-04,STATEWIDE,1577,0,2,76,4,17068,1583
47,2024-10-05,STATEWIDE,1635,0,5,76,4,17327,1644
48,2024-10-06,STATEWIDE,1636,0,5,77,4,17336,1645
49,2024-10-07,STATEWIDE,2018,0,7,181,4,201371,2029
50,2024-10-08,STATEWIDE,2597,0,14,183,12,222907,2623
51,2024-10-09,STATEWIDE,3595,0,22,186,17,235890,3634
52,2024-10-10,STATEWIDE,5760,0,34,188,28,245278,5822
53,2024-10-11,STATEWIDE,9360,0,58,188,40,255130,9458
54,2024-10-12,STATEWIDE,9793,0,65,188,41,257356,9899
55,2024-10-13,STATEWIDE,9831,0,67,188,41,257684,9939
56,2024-10-14,STATEWIDE,9831,0,67,188,41,259966,9939
