,day,county_name,accepted,outstanding,rejected,cancelled,spoiled,sent,returned,acc_abs,acc_early
0,2024-08-19,STATEWIDE,0,0,0,0,0,2,0,0,0
1,2024-08-20,STATEWIDE,0,0,0,0,0,3,0,0,0
2,2024-08-21,STATEWIDE,0,0,0,0,0,4,0,0,0
3,2024-08-22,STATEWIDE,0,0,0,0,0,5,0,0,0
4,2024-08-23,STATEWIDE,0,0,0,0,0,9,0,0,0
5,2024-08-24,STATEWIDE,0,0,0,0,0,9,0,0,0
6,2024-08-25,STATEWIDE,0,0,0,0,0,9,0,0,0
7,2024-08-26,STATEWIDE,1,0,0,0,0,9,1,1,0
8,2024-08-27,STATEWIDE,1,0,0,0,0,10,1,1,0
9,2024-08-28,STATEWIDE,1,0,0,0,0,11,1,1,0
10,2024-08-29,STATEWIDE,2,0,0,0,0,12,2,2,0
11,2024-08-30,STATEWIDE,2,0,0,0,0,12,2,2,0
12,2024-08-31,STATEWIDE,2,0,0,0,0,12,2,2,0
13,2024-09-01,STATEWIDE,3,0,0,0,0,12,3,3,0
14,2024-09-02,STATEWIDE,3,0,0,0,0,12,3,3,0
15,2024-09-03,STATEWIDE,3,0,0,0,0,13,3,3,0
16,2024-09-04,STATEWIDE,3,0,0,0,0,13,3,3,0
17,2024-09-05,STATEWIDE,3,0,0,0,0,14,3,3,0
18,2024-09-06,STATEWIDE,3,0,0,0,0,15,3,3,0
19,2024-09-07,STATEWIDE,3,0,0,0,0,15,3,3,0
20,2024-09-08,STATEWIDE,3,0,0,0,0,15,3,3,0
21,2024-09-09,STATEWIDE,3,0,0,1,0,21,3,3,0
22,2024-09-10,STATEWIDE,3,0,0,1,0,21,3,3,0
23,2024-09-11,STATEWIDE,3,0,0,1,0,22,3,3,0
24,2024-09-12,STATEWIDE,3,0,0,1,0,23,3,3,0
25,2024-09-13,STATEWIDE,3,0,0,1,0,24,3,3,0
26,2024-09-14,STATEWIDE,3,0,0,1,0,24,3,3,0
27,2024-09-15,STATEWIDE,3,0,0,1,0,24,3,3,0
28,2024-09-16,STATEWIDE,5,0,0,2,0,28,5,5,0
29,2024-09-17,STATEWIDE,5,0,0,18,0,427,5,5,0
30,2024-09-18,STATEWIDE,5,0,0,26,0,538,5,5,0
31,2024-09-19,STATEWIDE,7,0,0,126,0,11816,7,7,0
32,2024-09-20,STATEWIDE,36,0,0,146,2,12640,38,36,0
33,2024-09-21,STATEWIDE,36,0,0,157,2,13170,38,36,0
34,2024-09-22,STATEWIDE,36,0,0,157,2,13200,38,36,0
35,2024-09-23,STATEWIDE,75,0,0,160,3,13669,78,75,0
36,2024-09-24,STATEWIDE,125,0,0,166,3,14066,128,125,0
37,2024-09-25,STATEWIDE,196,0,0,170,3,14423,199,196,0
38,2024-09-26,STATEWIDE,248,0,0,172,3,14705,251,248,0
39,2024-09-27,STATEWIDE,258,0,0,174,3,14854,261,258,0
40,2024-09-28,STATEWIDE,261,0,0,175,3,14950,264,261,0
41,2024-09-29,STATEWIDE,261,0,0,176,3,14974,264,261,0
42,2024-09-30,STATEWIDE,561,0,0,177,3,15395,564,561,0
43,2024-10-01,STATEWIDE,836,0,0,185,3,15626,839,836,0
44,2024-10-02,STATEWIDE,1111,0,1,188,4,16115,1116,1111,0
45,2024-10-03,STATEWIDE,1335,0,1,191,4,16527,1340,1335,0
46,2024-10-04,STATEWIDE,1597,0,1,198,4,16926,1602,1597,0
47,2024-10-05,STATEWIDE,1659,0,1,201,4,17180,1664,1659,0
48,2024-10-06,STATEWIDE,1660,0,1,202,4,17190,1665,1660,0
49,2024-10-07,STATEWIDE,2054,0,1,3635,4,193365,2059,2054,0
50,2024-10-08,STATEWIDE,2668,0,3,3911,12,213425,2683,2668,0
51,2024-10-09,STATEWIDE,3700,0,6,4105,17,225857,3723,3700,0
52,2024-10-10,STATEWIDE,6006,0,8,4269,28,235032,6042,6006,0
53,2024-10-11,STATEWIDE,10079,0,16,4405,42,244282,10137,10079,0
54,2024-10-12,STATEWIDE,10564,0,16,4445,42,246369,10622,10564,0
55,2024-10-13,STATEWIDE,10602,0,16,4455,42,246687,10660,10602,0
56,2024-10-14,STATEWIDE,14608,0,30,4567,55,251679,14693,14608,0
57,2024-10-15,STATEWIDE,343846,0,90,6864,84,260531,344020,30428,313418
58,2024-10-16,STATEWIDE,635347,0,143,8695,102,268699,635592,42403,592944
59,2024-10-17,STATEWIDE,912101,0,243,10382,131,276250,912475,59443,852658
60,2024-10-18,STATEWIDE,1219246,0,346,11953,163,284364,1219755,77736,1141510
61,2024-10-19,STATEWIDE,1395617,0,427,12944,168,288495,1396212,89404,1306213
62,2024-10-20,STATEWIDE,1443516,0,446,13310,172,289847,1444134,94605,1348911
63,2024-10-21,STATEWIDE,1712306,0,609,14763,198,299283,1713113,113864,1598442
64,2024-10-22,STATEWIDE,1954730,1,701,16035,225,306993,1955656,129314,1825416
65,2024-10-23,STATEWIDE,2173639,1,802,17136,241,314620,2174682,144180,2029459
66,2024-10-24,STATEWIDE,2383568,1,895,18229,251,322024,2384714,156914,2226654
67,2024-10-25,STATEWIDE,2629628,1,969,19501,270,331624,2630867,169953,2459675
68,2024-10-26,STATEWIDE,2801141,1,1001,20497,276,336573,2802418,175513,2625628
69,2024-10-27,STATEWIDE,2839017,1,1001,20868,276,338344,2840294,176770,2662247
70,2024-10-28,STATEWIDE,3058074,1,1061,22028,280,343954,3059415,186094,2871980
