,day,county_name,accepted,outstanding,rejected,cancelled,spoiled,sent,returned,acc_abs,acc_early
0,2024-08-19,STATEWIDE,0,0,0,0,0,2,0,0,0
1,2024-08-20,STATEWIDE,0,0,0,0,0,3,0,0,0
2,2024-08-21,STATEWIDE,0,0,0,0,0,4,0,0,0
3,2024-08-22,STATEWIDE,0,0,0,0,0,5,0,0,0
4,2024-08-23,STATEWIDE,0,0,0,0,0,8,0,0,0
5,2024-08-24,STATEWIDE,0,0,0,0,0,8,0,0,0
6,2024-08-25,STATEWIDE,0,0,0,0,0,8,0,0,0
7,2024-08-26,STATEWIDE,1,0,0,0,0,8,1,1,0
8,2024-08-27,STATEWIDE,1,0,0,0,0,9,1,1,0
9,2024-08-28,STATEWIDE,1,0,0,0,0,10,1,1,0
10,2024-08-29,STATEWIDE,2,0,0,0,0,11,2,2,0
11,2024-08-30,STATEWIDE,2,0,0,0,0,11,2,2,0
12,2024-08-31,STATEWIDE,2,0,0,0,0,11,2,2,0
13,2024-09-01,STATEWIDE,3,0,0,0,0,11,3,3,0
14,2024-09-02,STATEWIDE,3,0,0,0,0,11,3,3,0
15,2024-09-03,STATEWIDE,3,0,0,0,0,12,3,3,0
16,2024-09-04,STATEWIDE,3,0,0,0,0,12,3,3,0
17,2024-09-05,STATEWIDE,3,0,0,0,0,13,3,3,0
18,2024-09-06,STATEWIDE,3,0,0,0,0,14,3,3,0
19,2024-09-07,STATEWIDE,3,0,0,0,0,14,3,3,0
20,2024-09-08,STATEWIDE,3,0,0,0,0,14,3,3,0
21,2024-09-09,STATEWIDE,3,0,0,1,0,20,3,3,0
22,2024-09-10,STATEWIDE,3,0,0,1,0,20,3,3,0
23,2024-09-11,STATEWIDE,3,0,0,1,0,21,3,3,0
24,2024-09-12,STATEWIDE,3,0,0,1,0,23,3,3,0
25,2024-09-13,STATEWIDE,3,0,0,1,0,23,3,3,0
26,2024-09-14,STATEWIDE,3,0,0,1,0,23,3,3,0
27,2024-09-15,STATEWIDE,3,0,0,1,0,23,3,3,0
28,2024-09-16,STATEWIDE,4,0,1,1,0,26,5,4,0
29,2024-09-17,STATEWIDE,4,0,1,16,0,428,5,4,0
30,2024-09-18,STATEWIDE,4,0,1,24,0,539,5,4,0
31,2024-09-19,STATEWIDE,6,0,1,90,0,11847,7,6,0
32,2024-09-20,STATEWIDE,35,0,1,107,2,12674,38,35,0
33,2024-09-21,STATEWIDE,35,0,1,115,2,13207,38,35,0
34,2024-09-22,STATEWIDE,35,0,1,115,2,13237,38,35,0
35,2024-09-23,STATEWIDE,74,0,1,117,3,13708,78,74,0
36,2024-09-24,STATEWIDE,124,0,1,119,3,14106,128,124,0
37,2024-09-25,STATEWIDE,195,0,1,123,3,14463,199,195,0
38,2024-09-26,STATEWIDE,247,0,1,125,3,14746,251,247,0
39,2024-09-27,STATEWIDE,257,0,1,127,3,14896,261,257,0
40,2024-09-28,STATEWIDE,259,0,1,128,3,14991,263,259,0
41,2024-09-29,STATEWIDE,259,0,1,129,3,15015,263,259,0
42,2024-09-30,STATEWIDE,554,0,1,130,3,15437,558,554,0
43,2024-10-01,STATEWIDE,828,0,1,137,3,15669,832,828,0
44,2024-10-02,STATEWIDE,1102,0,2,140,4,16160,1108,1102,0
45,2024-10-03,STATEWIDE,1325,0,3,142,4,16572,1332,1325,0
46,2024-10-04,STATEWIDE,1586,0,3,147,4,16975,1593,1586,0
47,2024-10-05,STATEWIDE,1648,0,3,150,4,17230,1655,1648,0
48,2024-10-06,STATEWIDE,1649,0,3,151,4,17239,1656,1649,0
49,2024-10-07,STATEWIDE,2039,0,3,2464,4,195614,2046,2039,0
50,2024-10-08,STATEWIDE,2643,0,6,2640,12,216179,2661,2643,0
51,2024-10-09,STATEWIDE,3670,0,11,2742,17,228842,3698,3670,0
52,2024-10-10,STATEWIDE,5967,0,13,2832,28,238135,6008,5967,0
53,2024-10-11,STATEWIDE,10033,0,28,2922,42,247614,10103,10033,0
54,2024-10-12,STATEWIDE,10516,0,30,2949,43,249746,10589,10516,0
55,2024-10-13,STATEWIDE,10554,0,32,2958,43,250066,10629,10554,0
56,2024-10-14,STATEWIDE,14541,0,47,3031,56,255176,14644,14541,0
57,2024-10-15,STATEWIDE,343654,0,145,5294,85,264140,343884,30248,313406
58,2024-10-16,STATEWIDE,634799,0,248,7062,103,272403,635150,42117,592682
59,2024-10-17,STATEWIDE,911251,0,379,8707,133,280040,911763,59068,852183
60,2024-10-18,STATEWIDE,1217480,0,516,10200,163,288299,1218159,76884,1140596
61,2024-10-19,STATEWIDE,1393282,0,607,11172,168,292547,1394057,88171,1305111
62,2024-10-20,STATEWIDE,1439114,0,616,11534,173,293712,1439903,91435,1347679
63,2024-10-21,STATEWIDE,1703591,0,752,12904,200,303340,1704543,107750,1595841
64,2024-10-22,STATEWIDE,1935838,0,799,14107,219,311174,1936856,116710,1819128
