,day,county_name,accepted,outstanding,rejected,cancelled,spoiled,sent,returned
0,2024-08-19,STATEWIDE,1,0,0,0,0,3,1
1,2024-08-20,STATEWIDE,1,0,0,0,0,4,1
2,2024-08-21,STATEWIDE,1,0,0,0,0,5,1
3,2024-08-22,STATEWIDE,1,0,0,0,0,6,1
4,2024-08-23,STATEWIDE,2,0,0,0,0,11,2
5,2024-08-24,STATEWIDE,2,0,0,0,0,11,2
6,2024-08-25,STATEWIDE,2,0,0,0,0,11,2
7,2024-08-26,STATEWIDE,3,0,0,0,0,11,3
8,2024-08-27,STATEWIDE,3,0,0,0,0,12,3
9,2024-08-28,STATEWIDE,3,0,0,0,0,14,3
10,2024-08-29,STATEWIDE,4,0,0,0,0,15,4
11,2024-08-30,STATEWIDE,4,0,0,0,0,16,4
12,2024-08-31,STATEWIDE,4,0,0,0,0,16,4
13,2024-09-01,STATEWIDE,4,0,0,0,0,16,4
14,2024-09-02,STATEWIDE,4,0,0,0,0,16,4
15,2024-09-03,STATEWIDE,4,0,0,0,0,17,4
16,2024-09-04,STATEWIDE,4,0,0,0,0,17,4
17,2024-09-05,STATEWIDE,4,0,0,0,0,18,4
18,2024-09-06,STATEWIDE,4,0,0,0,0,19,4
19,2024-09-07,STATEWIDE,4,0,0,0,0,19,4
20,2024-09-08,STATEWIDE,4,0,0,0,0,19,4
21,2024-09-09,STATEWIDE,4,0,0,1,0,24,4
22,2024-09-10,STATEWIDE,4,0,0,1,0,24,4
23,2024-09-11,STATEWIDE,4,0,0,1,0,25,4
24,2024-09-12,STATEWIDE,4,0,0,1,0,27,4
25,2024-09-13,STATEWIDE,4,0,0,1,0,27,4
26,2024-09-14,STATEWIDE,4,0,0,1,0,27,4
27,2024-09-15,STATEWIDE,4,0,0,1,0,27,4
28,2024-09-16,STATEWIDE,4,0,0,1,0,31,4
29,2024-09-17,STATEWIDE,4,0,0,12,0,428,4
30,2024-09-18,STATEWIDE,4,0,0,15,0,540,4
31,2024-09-19,STATEWIDE,6,0,0,39,0,11946,6
32,2024-09-20,STATEWIDE,35,0,0,50,2,12774,37
33,2024-09-21,STATEWIDE,35,0,0,58,2,13304,37
34,2024-09-22,STATEWIDE,35,0,0,58,2,13336,37
35,2024-09-23,STATEWIDE,74,0,0,59,3,13807,77
36,2024-09-24,STATEWIDE,124,0,0,60,3,14205,127
37,2024-09-25,STATEWIDE,196,0,0,63,3,14560,199
38,2024-09-26,STATEWIDE,248,0,0,64,3,14844,251
39,2024-09-27,STATEWIDE,258,0,0,64,3,14994,261
40,2024-09-28,STATEWIDE,260,0,0,64,3,15088,263
41,2024-09-29,STATEWIDE,260,0,0,65,3,15111,263
42,2024-09-30,STATEWIDE,555,0,0,65,3,15536,558
43,2024-10-01,STATEWIDE,826,0,0,68,3,15764,829
44,2024-10-02,STATEWIDE,1096,0,1,71,4,16252,1101
45,2024-10-03,STATEWIDE,1306,0,2,73,4,16669,1312
46,2024-10-04,STATEWIDE,1540,0,2,75,4,17070,1546
47,2024-10-05,STATEWIDE,1599,0,5,75,4,17328,1608
48,2024-10-06,STATEWIDE,1600,0,5,76,4,17336,1609
49,2024-10-07,STATEWIDE,1974,0,7,147,4,199478,1985
50,2024-10-08,STATEWIDE,2467,0,13,147,13,220987,2493
51,2024-10-09,STATEWIDE,3390,0,20,149,18,233939,3428
52,2024-10-10,STATEWIDE,5310,0,30,150,28,243202,5368
53,2024-10-11,STATEWIDE,5310,0,30,150,28,247773,5368
