,day,county_name,accepted,outstanding,rejected,cancelled,spoiled,sent,returned
0,2024-08-19,STATEWIDE,0,3,0,0,0,3,0
1,2024-08-20,STATEWIDE,0,4,0,0,0,4,0
2,2024-08-21,STATEWIDE,0,5,0,0,0,5,0
3,2024-08-22,STATEWIDE,0,6,0,0,0,6,0
4,2024-08-23,STATEWIDE,2,9,0,0,0,11,2
5,2024-08-24,STATEWIDE,2,9,0,0,0,11,2
6,2024-08-25,STATEWIDE,2,9,0,0,0,11,2
7,2024-08-26,STATEWIDE,2,9,0,0,0,11,2
8,2024-08-27,STATEWIDE,2,10,0,0,0,12,2
9,2024-08-28,STATEWIDE,2,12,0,0,0,14,2
10,2024-08-29,STATEWIDE,3,12,0,0,0,15,3
11,2024-08-30,STATEWIDE,3,13,0,0,0,16,3
12,2024-08-31,STATEWIDE,3,13,0,0,0,16,3
13,2024-09-01,STATEWIDE,3,13,0,0,0,16,3
14,2024-09-02,STATEWIDE,3,13,0,0,0,16,3
15,2024-09-03,STATEWIDE,3,14,0,0,0,17,3
16,2024-09-04,STATEWIDE,3,14,0,0,0,17,3
17,2024-09-05,STATEWIDE,3,15,0,0,0,18,3
18,2024-09-06,STATEWIDE,3,16,0,0,0,19,3
19,2024-09-07,STATEWIDE,3,16,0,0,0,19,3
20,2024-09-08,STATEWIDE,3,16,0,0,0,19,3
21,2024-09-09,STATEWIDE,3,20,0,1,0,24,3
22,2024-09-10,STATEWIDE,3,20,0,1,0,24,3
23,2024-09-11,STATEWIDE,3,21,0,1,0,25,3
24,2024-09-12,STATEWIDE,3,23,0,1,0,27,3
25,2024-09-13,STATEWIDE,3,23,0,1,0,27,3
26,2024-09-14,STATEWIDE,3,23,0,1,0,27,3
27,2024-09-15,STATEWIDE,3,23,0,1,0,27,3
28,2024-09-16,STATEWIDE,3,28,0,1,0,32,3
29,2024-09-17,STATEWIDE,102,327,0,11,0,432,102
30,2024-09-18,STATEWIDE,146,393,0,14,2,544,148
31,2024-09-19,STATEWIDE,1941,9990,13,35,3,11952,1957
32,2024-09-20,STATEWIDE,2046,10700,14,43,3,12782,2063
33,2024-09-21,STATEWIDE,2066,10940,14,50,3,13313,2083
34,2024-09-22,STATEWIDE,2071,10967,14,50,3,13345,2088
35,2024-09-23,STATEWIDE,2114,11392,15,51,3,13816,2132
36,2024-09-24,STATEWIDE,2149,11752,15,52,3,14213,2167
37,2024-09-25,STATEWIDE,2180,12073,15,55,3,14569,2198
38,2024-09-26,STATEWIDE,2197,12337,16,56,3,14853,2216
39,2024-09-27,STATEWIDE,2204,12475,16,56,3,15002,2223
40,2024-09-28,STATEWIDE,2208,12565,16,56,3,15096,2227
41,2024-09-29,STATEWIDE,2209,12586,16,56,3,15120,2228
42,2024-09-30,STATEWIDE,2227,12990,16,56,3,15545,2246
43,2024-10-01,STATEWIDE,2236,13213,16,58,3,15777,2255
44,2024-10-02,STATEWIDE,2249,13684,16,61,3,16265,2268
45,2024-10-03,STATEWIDE,2262,14083,16,62,3,16682,2281
46,2024-10-04,STATEWIDE,2274,14468,16,64,3,17083,2293
47,2024-10-05,STATEWIDE,2274,14722,16,64,3,17341,2293
48,2024-10-06,STATEWIDE,2274,14727,16,65,3,17347,2293
49,2024-10-07,STATEWIDE,2359,192036,17,95,10,197249,2386
50,2024-10-08,STATEWIDE,2366,212499,17,95,12,218373,2395
51,2024-10-09,STATEWIDE,2366,213162,17,95,12,222697,2395
