,day,county_name,accepted,outstanding,rejected,cancelled,spoiled,sent,returned
0,2024-08-19,STATEWIDE,0,3,0,0,0,3,0
1,2024-08-20,STATEWIDE,0,4,0,0,0,4,0
2,2024-08-21,STATEWIDE,0,5,0,0,0,5,0
3,2024-08-22,STATEWIDE,0,6,0,0,0,6,0
4,2024-08-23,STATEWIDE,2,9,0,0,0,11,2
5,2024-08-24,STATEWIDE,2,9,0,0,0,11,2
6,2024-08-25,STATEWIDE,2,9,0,0,0,11,2
7,2024-08-26,STATEWIDE,2,9,0,0,0,11,2
8,2024-08-27,STATEWIDE,2,10,0,0,0,12,2
9,2024-08-28,STATEWIDE,2,12,0,0,0,14,2
10,2024-08-29,STATEWIDE,3,12,0,0,0,15,3
11,2024-08-30,STATEWIDE,3,13,0,0,0,16,3
12,2024-08-31,STATEWIDE,3,13,0,0,0,16,3
13,2024-09-01,STATEWIDE,3,13,0,0,0,16,3
14,2024-09-02,STATEWIDE,3,13,0,0,0,16,3
15,2024-09-03,STATEWIDE,3,14,0,0,0,17,3
16,2024-09-04,STATEWIDE,3,14,0,0,0,17,3
17,2024-09-05,STATEWIDE,3,15,0,0,0,18,3
18,2024-09-06,STATEWIDE,3,16,0,0,0,19,3
19,2024-09-07,STATEWIDE,3,16,0,0,0,19,3
20,2024-09-08,STATEWIDE,3,16,0,0,0,19,3
21,2024-09-09,STATEWIDE,4,20,0,1,0,25,4
22,2024-09-10,STATEWIDE,4,20,0,1,0,25,4
23,2024-09-11,STATEWIDE,4,21,0,1,0,26,4
24,2024-09-12,STATEWIDE,4,23,0,1,0,28,4
25,2024-09-13,STATEWIDE,4,23,0,1,0,28,4
26,2024-09-14,STATEWIDE,4,23,0,1,0,28,4
27,2024-09-15,STATEWIDE,4,23,0,1,0,28,4
28,2024-09-16,STATEWIDE,5,28,0,1,0,34,5
29,2024-09-17,STATEWIDE,77,355,0,11,0,435,77
30,2024-09-18,STATEWIDE,115,427,0,14,2,547,117
31,2024-09-19,STATEWIDE,1545,10395,7,31,3,11958,1555
32,2024-09-20,STATEWIDE,1632,11128,8,35,3,12793,1643
33,2024-09-21,STATEWIDE,1650,11355,8,42,3,13324,1661
34,2024-09-22,STATEWIDE,1652,11385,8,42,3,13356,1663
35,2024-09-23,STATEWIDE,1681,11825,9,43,3,13828,1693
36,2024-09-24,STATEWIDE,1707,12195,9,44,3,14226,1719
37,2024-09-25,STATEWIDE,1726,12527,9,47,3,14583,1738
38,2024-09-26,STATEWIDE,1738,12797,9,48,3,14867,1750
39,2024-09-27,STATEWIDE,1743,12937,9,48,3,15016,1755
40,2024-09-28,STATEWIDE,1744,13030,9,48,3,15110,1756
41,2024-09-29,STATEWIDE,1745,13050,9,48,3,15134,1757
42,2024-09-30,STATEWIDE,1757,13458,9,48,3,15558,1769
43,2024-10-01,STATEWIDE,1763,13682,9,50,3,15789,1775
44,2024-10-02,STATEWIDE,1770,14158,9,53,3,16278,1782
45,2024-10-03,STATEWIDE,1776,14564,9,54,3,16695,1788
46,2024-10-04,STATEWIDE,1779,14957,9,56,3,17095,1791
47,2024-10-05,STATEWIDE,1779,15211,9,56,3,17353,1791
48,2024-10-06,STATEWIDE,1779,15216,9,57,3,17359,1791
49,2024-10-07,STATEWIDE,1789,191155,10,75,3,195858,1802
50,2024-10-08,STATEWIDE,1789,203492,10,75,3,208476,1802
