STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Page: 1,
"2020 April Voter Registration - April 01, 2020",,,,,,,,,,,,,,,,,,
Compiled and Issued by the Arizona Secretary of State,,,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,,,
County,Precincts,,Date/Period,,,Democratic,,,Libertarian,Republican,Other,,Total,,,,,
,,,,,,,,,,,,,,,,,,
Apache,44,,JAN 2020,,,"28,734",,,161,"9,589","12,735",,"51,219",,,,,
,44,,PPE 2020,,,"28,776",,,164,"9,728","12,617",,"51,285",,,,,
,44,,APR 2020,,,"27,632",,,164,"9,335","11,872",,"49,003",,,,,
,,,,,,,,,,,,,,,,,,
Cochise,49,,JAN 2020,,,"19,771",,,574,"29,507","24,868",,"74,720",,,,,
,49,,PPE 2020,,,"20,356",,,572,"29,906","24,830",,"75,664",,,,,
,49,,APR 2020,,,"20,646",,,574,"30,273","24,800",,"76,293",,,,,
,,,,,,,,,,,,,,,,,,
Coconino,71,,JAN 2020,,,"35,787",,,834,"22,230","28,094",,"86,945",,,,,
,71,,PPE 2020,,,"35,901",,,760,"21,673","25,916",,"84,250",,,,,
,71,,APR 2020,,,"35,881",,,722,"21,293","24,493",,"82,389",,,,,
,,,,,,,,,,,,,,,,,,
Gila,39,,JAN 2020,,,"8,664",,,178,"13,744","8,238",,"30,824",,,,,
,39,,PPE 2020,,,"8,845",,,184,"14,068","8,243",,"31,340",,,,,
,39,,APR 2020,,,"8,890",,,187,"14,305","8,290",,"31,672",,,,,
,,,,,,,,,,,,,,,,,,
Graham,22,,JAN 2020,,,"5,268",,,98,"8,999","4,771",,"19,136",,,,,
,22,,PPE 2020,,,"5,082",,,102,"9,151","4,799",,"19,134",,,,,
,22,,APR 2020,,,"5,078",,,97,"9,258","4,808",,"19,241",,,,,
,,,,,,,,,,,,,,,,,,
Greenlee,8,,JAN 2020,,,"1,805",,,39,"1,538","1,353",,"4,735",,,,,
,8,,PPE 2020,,,"1,756",,,37,"1,564","1,354",,"4,711",,,,,
,8,,APR 2020,,,"1,758",,,37,"1,609","1,362",,"4,766",,,,,
,,,,,,,,,,,,,,,,,,
La Paz,11,,JAN 2020,,,"2,290",,,44,"4,344","3,769",,"10,447",,,,,
,11,,PPE 2020,,,"2,282",,,47,"4,423","3,770",,"10,522",,,,,
,11,,APR 2020,,,"2,322",,,50,"4,560","3,731",,"10,663",,,,,
,,,,,,,,,,,,,,,,,,
Maricopa,743,,JAN 2020,,,"724,099",,,"21,847","840,167","811,984",,"2,398,097",,,,,
,743,,PPE 2020,,,"737,926",,,"21,008","828,222","776,833",,"2,363,989",,,,,
,743,,APR 2020,,,"749,918",,,"21,016","835,561","774,500",,"2,380,995",,,,,
,,,,,,,,,,,,,,,,,,
Mohave,24,,JAN 2020,,,"20,427",,,721,"60,951","42,442",,"124,541",,,,,
,24,,PPE 2020,,,"20,872",,,732,"62,665","42,629",,"126,898",,,,,
,24,,APR 2020,,,"20,986",,,746,"63,696","42,549",,"127,977",,,,,
,,,,,,,,,,,,,,,,,,
Navajo,14,,JAN 2020,,,"25,077",,,381,"22,408","17,918",,"65,784",,,,,
,14,,PPE 2020,,,"25,215",,,386,"22,776","17,945",,"66,322",,,,,
,14,,APR 2020,,,"25,365",,,384,"23,059","17,954",,"66,762",,,,,
,,,,,,,,,,,,,,,,,,
Pima,249,,JAN 2020,,,"223,115",,,"4,361","168,990","177,142",,"573,608",,,,,
,249,,PPE 2020,,,"237,568",,,"4,340","170,984","173,304",,"586,196",,,,,
,249,,APR 2020,,,"238,385",,,"4,238","169,806","168,597",,"581,026",,,,,
,,,,,,,,,,,,,,,,,,
Pinal,102,,JAN 2020,,,"58,329",,,"1,624","79,631","79,429",,"219,013",,,,,
,102,,PPE 2020,,,"60,034",,,"1,649","81,249","79,030",,"221,962",,,,,
,102,,APR 2020,,,"61,557",,,"1,672","82,575","78,886",,"224,690",,,,,
,,,,,,,,,,,,,,,,,,
Santa Cruz,24,,JAN 2020,,,"13,429",,,132,"4,495","8,676",,"26,732",,,,,
,24,,PPE 2020,,,"13,552",,,130,"4,521","8,513",,"26,716",,,,,
,24,,APR 2020,,,"13,726",,,129,"4,540","8,476",,"26,871",,,,,
,,,,,,,,,,,,,,,,,,
Yavapai,45,,JAN 2020,,,"30,245",,,"1,081","69,499","45,467",,"146,292",,,,,
,45,,PPE 2020,,,"31,856",,,"1,130","70,989","44,763",,"148,738",,,,,
,45,,APR 2020,,,"32,874",,,"1,140","72,100","44,489",,"150,603",,,,,
,,,,,,,,,,,,,,,,,,
Yuma,44,,JAN 2020,,,"31,705",,,602,"27,843","34,406",,"94,556",,,,,
,44,,PPE 2020,,,"31,914",,,599,"28,374","34,394",,"95,281",,,,,
,44,,APR 2020,,,"32,224",,,596,"28,917","34,572",,"96,309",,,,,
,,,,,,,,,,,,,,,,,,
Totals:,"1,489",,JAN 2020,,,"1,228,745",,,"32,677","1,363,935","1,301,292",,"3,926,649",,,,,
,"1,489",,PPE 2020,,,"1,261,935",,,"31,840","1,360,293","1,258,940",,"3,913,008",,,,,
,"1,489",,APR 2020,,,"1,277,242",,,"31,752","1,370,887","1,249,379",,"3,929,260",,,,,
,,,,,,,,,,,,,,,,,,
Percentages:,,,JAN 2020,,,31.29,,,0.83,34.74,33.14,,,,,,,
,,,PPE 2020,,,32.25,,,0.81,34.76,32.17,,,,,,,
,,,APR 2020,,,32.51,,,0.81,34.89,31.80,,,,,,,
,,,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,,,
District,,,,Precincts,Democratic,,,Libertarian,,Republican,,Other,,Total,,,,
,,,,,,,,,,,,,,,,,,
Congressional District 1,,,,,,,,,,,,,,,,,,
Apache,,,,44,"27,632",,,164,,"9,335",,"11,872",,"49,003",,,,
Coconino,,,,71,"35,881",,,722,,"21,293",,"24,493",,"82,389",,,,
Gila,,,,22,"5,616",,,51,,"3,341",,"3,517",,"12,525",,,,
Graham,,,,22,"5,078",,,97,,"9,258",,"4,808",,"19,241",,,,
Greenlee,,,,8,"1,758",,,37,,"1,609",,"1,362",,"4,766",,,,
Maricopa,,,,3,674,,,9,,85,,576,,"1,344",,,,
Mohave,,,,2,283,,,3,,117,,365,,768,,,,
Navajo,,,,14,"25,365",,,384,,"23,059",,"17,954",,"66,762",,,,
Pima,,,,26,"21,876",,,476,,"29,937",,"20,093",,"72,382",,,,
Pinal,,,,60,"37,789",,,775,,"38,826",,"41,614",,"119,004",,,,
Yavapai,,,,7,"6,116",,,158,,"7,479",,"6,863",,"20,616",,,,
Total:,,,,279,"168,068",,,"2,876",,"144,339",,"133,517",,"448,800",,,,
,,,,,,,,,,,,,,,,,,
Congressional District 2,,,,,,,,,,,,,,,,,,
Cochise,,,,49,"20,646",,,574,,"30,273",,"24,800",,"76,293",,,,
Pima,,,,146,"140,621",,,"2,743",,"112,737",,"101,557",,"357,658",,,,
Total:,,,,195,"161,267",,,"3,317",,"143,010",,"126,357",,"433,951",,,,
,,,,,,,,,,,,,,,,,,
Congressional District 3,,,,,,,,,,,,,,,,,,
Maricopa,,,,47,"46,788",,,969,,"31,338",,"45,076",,"124,171",,,,
Pima,,,,77,"75,888",,,"1,019",,"27,132",,"46,947",,"150,986",,,,
Pinal,,,,1,151,,,0,,9,,89,,249,,,,
Santa Cruz,,,,24,"13,726",,,129,,"4,540",,"8,476",,"26,871",,,,
Yuma,,,,29,"24,286",,,332,,"12,061",,"21,986",,"58,665",,,,
Total:,,,,178,"160,839",,,"2,449",,"75,080",,"122,574",,"360,942",,,,
,,,,,,,,,,,,,,,,,,
Congressional District 4,,,,,,,,,,,,,,,,,,
Gila,,,,17,"3,274",,,136,,"10,964",,"4,773",,"19,147",,,,
La Paz,,,,11,"2,322",,,50,,"4,560",,"3,731",,"10,663",,,,
Maricopa,,,,18,"7,642",,,272,,"17,286",,"10,881",,"36,081",,,,
Mohave,,,,22,"20,703",,,743,,"63,579",,"42,184",,"127,209",,,,
Pinal,,,,41,"23,617",,,897,,"43,740",,"37,183",,"105,437",,,,
Yavapai,,,,38,"26,758",,,982,,"64,621",,"37,626",,"129,987",,,,
Yuma,,,,15,"7,938",,,264,,"16,856",,"12,586",,"37,644",,,,
Total:,,,,162,"92,254",,,"3,344",,"221,606",,"148,964",,"466,168",,,,
,,,,,,,,,,,,,,,,,,
Congressional District 5,,,,,,,,,,,,,,,,,,
Maricopa,,,,128,"124,286",,,"4,681",,"220,623",,"158,876",,"508,466",,,,
Total:,,,,128,"124,286",,,"4,681",,"220,623",,"158,876",,"508,466",,,,
,,,,,,,,,,,,,,,,,,
Congressional District 6,,,,,,,,,,,,,,,,,,
Maricopa,,,,157,"133,248",,,"4,272",,"191,374",,"154,180",,"483,074",,,,
Total:,,,,157,"133,248",,,"4,272",,"191,374",,"154,180",,"483,074",,,,
,,,,,,,,,,,,,,,,,,
Congressional District 7,,,,,,,,,,,,,,,,,,
Maricopa,,,,107,"151,968",,,"2,467",,"46,522",,"112,704",,"313,661",,,,
Total:,,,,107,"151,968",,,"2,467",,"46,522",,"112,704",,"313,661",,,,
,,,,,,,,,,,,,,,,,,
Congressional District 8,,,,,,,,,,,,,,,,,,
Maricopa,,,,143,"126,710",,,"3,688",,"203,160",,"150,783",,"484,341",,,,
Total:,,,,143,"126,710",,,"3,688",,"203,160",,"150,783",,"484,341",,,,
,,,,,,,,,,,,,,,,,,
Congressional District 9,,,,,,,,,,,,,,,,,,
Maricopa,,,,140,"158,602",,,"4,658",,"125,173",,"141,424",,"429,857",,,,
Total:,,,,140,"158,602",,,"4,658",,"125,173",,"141,424",,"429,857",,,,
,,,,,,,,,,,,,,,,,,
Legislative District 1,,,,,,,,,,,,,,,,,,
Maricopa,,,,16,"9,714",,,447,,"25,263",,"14,599",,"50,023",,,,
