,day,county_name,accepted,outstanding,rejected,cancelled,spoiled,sent,returned,acc_abs,acc_early
0,2020-08-19,STATEWIDE,53,0,73,75,1,345,127,50,3
1,2020-08-20,STATEWIDE,53,0,73,115,1,621,127,50,3
2,2020-08-21,STATEWIDE,53,0,73,120,1,635,127,50,3
3,2020-08-22,STATEWIDE,53,0,73,121,1,636,127,50,3
4,2020-08-23,STATEWIDE,53,0,73,121,1,636,127,50,3
5,2020-08-24,STATEWIDE,53,0,73,124,1,659,127,50,3
6,2020-08-25,STATEWIDE,53,0,73,135,1,695,127,50,3
7,2020-08-26,STATEWIDE,53,0,73,145,1,729,127,50,3
8,2020-08-27,STATEWIDE,53,0,73,158,1,826,127,50,3
9,2020-08-28,STATEWIDE,54,0,73,174,1,929,128,51,3
10,2020-08-29,STATEWIDE,54,0,73,175,1,933,128,51,3
11,2020-08-30,STATEWIDE,54,0,73,177,1,936,128,51,3
12,2020-08-31,STATEWIDE,54,0,73,203,1,1102,128,51,3
13,2020-09-01,STATEWIDE,54,0,73,224,1,1249,128,51,3
14,2020-09-02,STATEWIDE,60,0,73,247,1,1330,134,57,3
15,2020-09-03,STATEWIDE,60,0,73,266,1,1416,134,57,3
16,2020-09-04,STATEWIDE,60,0,73,274,1,1473,134,57,3
17,2020-09-05,STATEWIDE,60,0,73,282,1,1488,134,57,3
18,2020-09-06,STATEWIDE,60,0,73,284,1,1491,134,57,3
19,2020-09-07,STATEWIDE,60,0,73,288,1,1501,134,57,3
20,2020-09-08,STATEWIDE,60,0,73,458,2,2759,135,57,3
21,2020-09-09,STATEWIDE,60,0,73,496,2,2942,135,57,3
22,2020-09-10,STATEWIDE,60,0,73,513,2,3006,135,57,3
23,2020-09-11,STATEWIDE,60,0,73,525,2,3078,135,57,3
24,2020-09-12,STATEWIDE,60,0,73,532,3,3087,136,57,3
25,2020-09-13,STATEWIDE,60,0,73,534,3,3090,136,57,3
26,2020-09-14,STATEWIDE,60,0,73,569,3,3274,136,57,3
27,2020-09-15,STATEWIDE,62,0,73,690,3,4253,138,59,3
28,2020-09-16,STATEWIDE,68,0,73,1852,3,16723,144,65,3
29,2020-09-17,STATEWIDE,74,0,73,2187,3,19760,150,71,3
30,2020-09-18,STATEWIDE,119,0,73,202791,3,1132918,195,116,3
31,2020-09-19,STATEWIDE,120,0,73,204902,3,1146494,196,117,3
32,2020-09-20,STATEWIDE,130,0,73,205275,3,1149048,206,127,3
33,2020-09-21,STATEWIDE,1370,0,73,213912,16,1198709,1459,1367,3
34,2020-09-22,STATEWIDE,5913,0,73,217770,51,1223700,6037,5910,3
35,2020-09-23,STATEWIDE,14409,0,75,222180,96,1250162,14580,14406,3
36,2020-09-24,STATEWIDE,27858,0,77,226377,167,1271980,28102,27855,3
37,2020-09-25,STATEWIDE,46562,0,80,230291,328,1293915,46970,46559,3
38,2020-09-26,STATEWIDE,47705,0,80,231514,341,1300540,48126,47702,3
39,2020-09-27,STATEWIDE,48512,0,80,231968,344,1303071,48936,48509,3
40,2020-09-28,STATEWIDE,92306,0,89,236096,562,1327032,92957,92303,3
41,2020-09-29,STATEWIDE,124552,0,95,241101,760,1354835,125407,124549,3
42,2020-09-30,STATEWIDE,162938,0,108,246150,976,1383253,164022,162935,3
43,2020-10-01,STATEWIDE,202153,0,113,249835,1116,1404705,203382,202150,3
44,2020-10-02,STATEWIDE,238175,0,122,253596,1274,1426229,239571,238172,3
45,2020-10-03,STATEWIDE,246709,0,122,254898,1293,1434362,248124,246706,3
46,2020-10-04,STATEWIDE,248368,0,124,255388,1294,1437098,249786,248365,3
47,2020-10-05,STATEWIDE,292099,0,128,260473,1530,1466641,293757,292096,3
48,2020-10-06,STATEWIDE,323824,0,131,266257,1673,1498601,325628,323821,3
49,2020-10-07,STATEWIDE,357876,0,139,271459,1803,1527136,359818,357873,3
50,2020-10-08,STATEWIDE,408759,0,145,276550,1948,1549816,410852,408756,3
51,2020-10-09,STATEWIDE,448024,0,150,280769,2125,1571173,450299,448016,8
52,2020-10-10,STATEWIDE,462014,0,151,282305,2145,1579057,464310,462005,9
53,2020-10-11,STATEWIDE,465563,0,151,282816,2169,1582236,467883,465548,15
54,2020-10-12,STATEWIDE,633038,0,152,287884,2269,1597704,635459,496653,136385
55,2020-10-13,STATEWIDE,815370,0,163,291704,2396,1609994,817929,549650,265720
56,2020-10-14,STATEWIDE,1004702,0,167,296388,2531,1627520,1007400,594868,409834
57,2020-10-15,STATEWIDE,1222322,0,174,302145,2663,1651064,1225159,648888,573434
58,2020-10-16,STATEWIDE,1440337,0,182,306726,2781,1667541,1443300,696058,744279
59,2020-10-17,STATEWIDE,1526793,0,183,308476,2829,1673219,1529805,716584,810209
60,2020-10-18,STATEWIDE,1570132,0,184,309241,2873,1675895,1573189,726071,844061
61,2020-10-19,STATEWIDE,1796195,0,190,312372,3004,1689393,1799389,788481,1007714
62,2020-10-20,STATEWIDE,2002691,0,198,315632,3092,1704233,2005981,833509,1169182
63,2020-10-21,STATEWIDE,2207839,0,205,318284,3230,1716897,2211274,882842,1324997
64,2020-10-22,STATEWIDE,2404173,0,214,320314,3305,1726755,2407692,929947,1474226
65,2020-10-23,STATEWIDE,2610879,0,226,322320,3375,1735922,2614480,971386,1639493
66,2020-10-24,STATEWIDE,2758130,0,231,323269,3419,1740374,2761780,991439,1766691
67,2020-10-25,STATEWIDE,2801200,0,236,323740,3437,1741983,2804873,996801,1804399
68,2020-10-26,STATEWIDE,3023963,0,240,325844,3552,1751988,3027755,1048739,1975224
69,2020-10-27,STATEWIDE,3232294,0,310,327468,3609,1759929,3236213,1089018,2143276
