"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2024 General Election","01002","TOWN OF ADAMS - ADAMS COUNTY","60","60","0","0"
"2024 General Election","01004","TOWN OF BIG FLATS - ADAMS COUNTY","37","36","0","0"
"2024 General Election","01006","TOWN OF COLBURN - ADAMS COUNTY","17","16","0","0"
"2024 General Election","01008","TOWN OF DELL PRAIRIE - ADAMS COUNTY","76","75","0","0"
"2024 General Election","01010","TOWN OF EASTON - ADAMS COUNTY","58","56","0","0"
"2024 General Election","01012","TOWN OF JACKSON - ADAMS COUNTY","65","65","0","0"
"2024 General Election","01014","TOWN OF LEOLA - ADAMS COUNTY","8","8","0","0"
"2024 General Election","01016","TOWN OF LINCOLN - ADAMS COUNTY","22","22","0","0"
"2024 General Election","01018","TOWN OF MONROE - ADAMS COUNTY","26","25","0","0"
"2024 General Election","01020","TOWN OF NEW CHESTER - ADAMS COUNTY","59","58","0","0"
"2024 General Election","01022","TOWN OF NEW HAVEN - ADAMS COUNTY","32","32","0","0"
"2024 General Election","01024","TOWN OF PRESTON - ADAMS COUNTY","76","75","0","0"
"2024 General Election","01026","TOWN OF QUINCY - ADAMS COUNTY","75","75","0","0"
"2024 General Election","01028","TOWN OF RICHFIELD - ADAMS COUNTY","3","3","0","0"
"2024 General Election","01030","TOWN OF ROME - ADAMS COUNTY","262","261","0","0"
"2024 General Election","01032","TOWN OF SPRINGVILLE - ADAMS COUNTY","85","85","0","0"
"2024 General Election","01034","TOWN OF STRONGS PRAIRIE - ADAMS COUNTY","53","53","0","0"
"2024 General Election","01126","VILLAGE OF FRIENDSHIP - ADAMS COUNTY","20","20","0","0"
"2024 General Election","01201","CITY OF ADAMS - ADAMS COUNTY","62","61","0","0"
"2024 General Election","02002","TOWN OF AGENDA - ASHLAND COUNTY","18","18","0","0"
"2024 General Election","02004","TOWN OF ASHLAND - ASHLAND COUNTY","36","0","0",""
"2024 General Election","02006","TOWN OF CHIPPEWA - ASHLAND COUNTY","16","0","0",""
"2024 General Election","02008","TOWN OF GINGLES - ASHLAND COUNTY","40","40","0","0"
"2024 General Election","02010","TOWN OF GORDON - ASHLAND COUNTY","13","0","0",""
"2024 General Election","02012","TOWN OF JACOBS - ASHLAND COUNTY","9","9","0","0"
"2024 General Election","02014","TOWN OF LA POINTE - ASHLAND COUNTY","33","33","0","0"
"2024 General Election","02016","TOWN OF MARENGO - ASHLAND COUNTY","10","0","0",""
"2024 General Election","02018","TOWN OF MORSE - ASHLAND COUNTY","43","0","0",""
"2024 General Election","02020","TOWN OF PEEKSVILLE - ASHLAND COUNTY","1","0","0",""
