
County Name,Absentee Applications
ADAMS COUNTY,2343
ASHLAND COUNTY,2487
BARRON COUNTY,5641
BAYFIELD COUNTY,3233
BROWN COUNTY,51326
BUFFALO COUNTY,757
BURNETT COUNTY,2138
CALUMET COUNTY,8873
CHIPPEWA COUNTY,8883
CLARK COUNTY,1410
COLUMBIA COUNTY,8614
CRAWFORD COUNTY,1363
DANE COUNTY,158708
DODGE COUNTY,10216
DOOR COUNTY,6512
DOUGLAS COUNTY,7320
DUNN COUNTY,5281
EAU CLAIRE COUNTY,15871
FLORENCE COUNTY,837
FOND DU LAC COUNTY,12548
FOREST COUNTY,1137
GRANT COUNTY,4658
GREEN COUNTY,5326
GREEN LAKE COUNTY,2224
IOWA COUNTY,3982
IRON COUNTY,929
JACKSON COUNTY,1613
JEFFERSON COUNTY,13001
JUNEAU COUNTY,1892
KENOSHA COUNTY,26462
KEWAUNEE COUNTY,2541
LA CROSSE COUNTY,21686
LAFAYETTE COUNTY,1726
LANGLADE COUNTY,1382
LINCOLN COUNTY,4002
MANITOWOC COUNTY,10825
MARATHON COUNTY,22108
MARINETTE COUNTY,5490
MARQUETTE COUNTY,1813
MENOMINEE COUNTY,340
MILWAUKEE COUNTY,184535
MONROE COUNTY,4572
OCONTO COUNTY,5522
ONEIDA COUNTY,6557
OUTAGAMIE COUNTY,34418
OZAUKEE COUNTY,20242
PEPIN COUNTY,791
PIERCE COUNTY,5691
POLK COUNTY,4609
PORTAGE COUNTY,12191
PRICE COUNTY,1872
RACINE COUNTY,31223
RICHLAND COUNTY,2099
ROCK COUNTY,25738
RUSK COUNTY,1469
ST. CROIX COUNTY,15624
SAUK COUNTY,10528
SAWYER COUNTY,2802
SHAWANO COUNTY,4611
SHEBOYGAN COUNTY,17328
TAYLOR COUNTY,1917
TREMPEALEAU COUNTY,2150
VERNON COUNTY,3338
VILAS COUNTY,4796
WALWORTH COUNTY,14844
WASHBURN COUNTY,2293
WASHINGTON COUNTY,24106
WAUKESHA COUNTY,87268
WAUPACA COUNTY,6602
WAUSHARA COUNTY,2943
WINNEBAGO COUNTY,29923
WOOD COUNTY,10556
TOTAL,1030657
