
County Name,Absentee Applications
ADAMS COUNTY,2278
ASHLAND COUNTY,2425
BARRON COUNTY,5341
BAYFIELD COUNTY,3171
BROWN COUNTY,49704
BUFFALO COUNTY,690
BURNETT COUNTY,2082
CALUMET COUNTY,8445
CHIPPEWA COUNTY,8632
CLARK COUNTY,1362
COLUMBIA COUNTY,8281
CRAWFORD COUNTY,1322
DANE COUNTY,153134
DODGE COUNTY,9748
DOOR COUNTY,6212
DOUGLAS COUNTY,7161
DUNN COUNTY,5087
EAU CLAIRE COUNTY,15292
FLORENCE COUNTY,818
FOND DU LAC COUNTY,12122
FOREST COUNTY,1114
GRANT COUNTY,4542
GREEN COUNTY,5131
GREEN LAKE COUNTY,2170
IOWA COUNTY,3803
IRON COUNTY,902
JACKSON COUNTY,1582
JEFFERSON COUNTY,12582
JUNEAU COUNTY,1824
KENOSHA COUNTY,25648
KEWAUNEE COUNTY,2486
LA CROSSE COUNTY,20988
LAFAYETTE COUNTY,1677
LANGLADE COUNTY,1347
LINCOLN COUNTY,3933
MANITOWOC COUNTY,10441
MARATHON COUNTY,21583
MARINETTE COUNTY,5297
MARQUETTE COUNTY,1800
MENOMINEE COUNTY,334
MILWAUKEE COUNTY,179524
MONROE COUNTY,4489
OCONTO COUNTY,5229
ONEIDA COUNTY,6318
OUTAGAMIE COUNTY,32694
OZAUKEE COUNTY,19558
PEPIN COUNTY,772
PIERCE COUNTY,5525
POLK COUNTY,4504
PORTAGE COUNTY,11743
PRICE COUNTY,1833
RACINE COUNTY,30292
RICHLAND COUNTY,2071
ROCK COUNTY,24734
RUSK COUNTY,1453
ST. CROIX COUNTY,14861
SAUK COUNTY,10231
SAWYER COUNTY,2722
SHAWANO COUNTY,4481
SHEBOYGAN COUNTY,16786
TAYLOR COUNTY,1859
TREMPEALEAU COUNTY,2082
VERNON COUNTY,3234
VILAS COUNTY,4669
WALWORTH COUNTY,14217
WASHBURN COUNTY,2267
WASHINGTON COUNTY,23163
WAUKESHA COUNTY,84057
WAUPACA COUNTY,6356
WAUSHARA COUNTY,2862
WINNEBAGO COUNTY,28961
WOOD COUNTY,10289
TOTAL,996327
