
County Name,Absentee Applications
ADAMS COUNTY,2305
ASHLAND COUNTY,2449
BARRON COUNTY,5547
BAYFIELD COUNTY,3208
BROWN COUNTY,50798
BUFFALO COUNTY,716
BURNETT COUNTY,2112
CALUMET COUNTY,8789
CHIPPEWA COUNTY,8798
CLARK COUNTY,1392
COLUMBIA COUNTY,8519
CRAWFORD COUNTY,1349
DANE COUNTY,157039
DODGE COUNTY,10112
DOOR COUNTY,6400
DOUGLAS COUNTY,7250
DUNN COUNTY,5217
EAU CLAIRE COUNTY,15597
FLORENCE COUNTY,830
FOND DU LAC COUNTY,12373
FOREST COUNTY,1128
GRANT COUNTY,4614
GREEN COUNTY,5277
GREEN LAKE COUNTY,2191
IOWA COUNTY,3887
IRON COUNTY,927
JACKSON COUNTY,1612
JEFFERSON COUNTY,12782
JUNEAU COUNTY,1876
KENOSHA COUNTY,26119
KEWAUNEE COUNTY,2528
LA CROSSE COUNTY,21463
LAFAYETTE COUNTY,1715
LANGLADE COUNTY,1367
LINCOLN COUNTY,3972
MANITOWOC COUNTY,10663
MARATHON COUNTY,21896
MARINETTE COUNTY,5437
MARQUETTE COUNTY,1812
MENOMINEE COUNTY,337
MILWAUKEE COUNTY,182684
MONROE COUNTY,4542
OCONTO COUNTY,5447
ONEIDA COUNTY,6525
OUTAGAMIE COUNTY,34039
OZAUKEE COUNTY,20029
PEPIN COUNTY,789
PIERCE COUNTY,5620
POLK COUNTY,4587
PORTAGE COUNTY,12003
PRICE COUNTY,1858
RACINE COUNTY,30903
RICHLAND COUNTY,2093
ROCK COUNTY,25505
RUSK COUNTY,1469
ST. CROIX COUNTY,15364
SAUK COUNTY,10432
SAWYER COUNTY,2785
SHAWANO COUNTY,4591
SHEBOYGAN COUNTY,17068
TAYLOR COUNTY,1889
TREMPEALEAU COUNTY,2127
VERNON COUNTY,3309
VILAS COUNTY,4742
WALWORTH COUNTY,14637
WASHBURN COUNTY,2287
WASHINGTON COUNTY,23772
WAUKESHA COUNTY,86122
WAUPACA COUNTY,6530
WAUSHARA COUNTY,2899
WINNEBAGO COUNTY,29588
WOOD COUNTY,10452
TOTAL,1019090
