"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2020 General Election","01002","TOWN OF ADAMS - ADAMS COUNTY","242","240","203","0"
"2020 General Election","01004","TOWN OF BIG FLATS - ADAMS COUNTY","124","124","74","0"
"2020 General Election","01006","TOWN OF COLBURN - ADAMS COUNTY","52","51","43","0"
"2020 General Election","01008","TOWN OF DELL PRAIRIE - ADAMS COUNTY","426","421","361","119"
"2020 General Election","01010","TOWN OF EASTON - ADAMS COUNTY","159","159","137","35"
"2020 General Election","01012","TOWN OF JACKSON - ADAMS COUNTY","243","230","158","0"
"2020 General Election","01014","TOWN OF LEOLA - ADAMS COUNTY","27","23","17","4"
"2020 General Election","01016","TOWN OF LINCOLN - ADAMS COUNTY","60","60","34","0"
"2020 General Election","01018","TOWN OF MONROE - ADAMS COUNTY","121","120","98","15"
"2020 General Election","01020","TOWN OF NEW CHESTER - ADAMS COUNTY","167","167","140","0"
"2020 General Election","01022","TOWN OF NEW HAVEN - ADAMS COUNTY","118","116","92","2"
"2020 General Election","01024","TOWN OF PRESTON - ADAMS COUNTY","228","228","162","13"
"2020 General Election","01026","TOWN OF QUINCY - ADAMS COUNTY","329","328","287","94"
"2020 General Election","01028","TOWN OF RICHFIELD - ADAMS COUNTY","16","16","12","0"
"2020 General Election","01030","TOWN OF ROME - ADAMS COUNTY","1442","1439","1325","466"
"2020 General Election","01032","TOWN OF SPRINGVILLE - ADAMS COUNTY","267","267","203","0"
"2020 General Election","01034","TOWN OF STRONGS PRAIRIE - ADAMS COUNTY","244","205","171","57"
"2020 General Election","01126","VILLAGE OF FRIENDSHIP - ADAMS COUNTY","113","113","103","30"
"2020 General Election","01201","CITY OF ADAMS - ADAMS COUNTY","286","285","239","97"
"2020 General Election","02002","TOWN OF AGENDA - ASHLAND COUNTY","67","64","58","1"
"2020 General Election","02004","TOWN OF ASHLAND - ASHLAND COUNTY","99","98","82","2"
"2020 General Election","02006","TOWN OF CHIPPEWA - ASHLAND COUNTY","56","56","49","3"
"2020 General Election","02008","TOWN OF GINGLES - ASHLAND COUNTY","177","177","157","2"
"2020 General Election","02010","TOWN OF GORDON - ASHLAND COUNTY","48","48","39","6"
"2020 General Election","02012","TOWN OF JACOBS - ASHLAND COUNTY","104","104","86","0"
"2020 General Election","02014","TOWN OF LA POINTE - ASHLAND COUNTY","167","167","154","54"
"2020 General Election","02016","TOWN OF MARENGO - ASHLAND COUNTY","64","64","49","0"
"2020 General Election","02018","TOWN OF MORSE - ASHLAND COUNTY","136","134","124","2"
"2020 General Election","02020","TOWN OF PEEKSVILLE - ASHLAND COUNTY","32","30","23","2"
"2020 General Election","02022","TOWN OF SANBORN - ASHLAND COUNTY","128","127","95","0"
"2020 General Election","02024","TOWN OF SHANAGOLDEN - ASHLAND COUNTY","25","25","23","0"
"2020 General Election","02026","TOWN OF WHITE RIVER - ASHLAND COUNTY","135","133","105","23"
"2020 General Election","02106","VILLAGE OF BUTTERNUT - ASHLAND COUNTY","61","61","53","12"
"2020 General Election","02201","CITY OF ASHLAND - MULTIPLE COUNTIES","2412","2410","2134","359"
"2020 General Election","02251","CITY OF MELLEN - ASHLAND COUNTY","134","133","120","0"
"2020 General Election","03002","TOWN OF ALMENA - BARRON COUNTY","206","202","172","67"
"2020 General Election","03004","TOWN OF ARLAND - BARRON COUNTY","102","102","79","3"
"2020 General Election","03006","TOWN OF BARRON - BARRON COUNTY","126","125","82","20"
"2020 General Election","03008","TOWN OF BEAR LAKE - BARRON COUNTY","157","155","119","20"
