"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2020 General Election","01002","TOWN OF ADAMS - ADAMS COUNTY","232","232","186","0"
"2020 General Election","01004","TOWN OF BIG FLATS - ADAMS COUNTY","124","124","74","0"
"2020 General Election","01006","TOWN OF COLBURN - ADAMS COUNTY","51","49","37","0"
"2020 General Election","01008","TOWN OF DELL PRAIRIE - ADAMS COUNTY","383","378","301","78"
"2020 General Election","01010","TOWN OF EASTON - ADAMS COUNTY","155","155","124","31"
"2020 General Election","01012","TOWN OF JACKSON - ADAMS COUNTY","243","230","148","0"
"2020 General Election","01014","TOWN OF LEOLA - ADAMS COUNTY","25","21","14","3"
"2020 General Election","01016","TOWN OF LINCOLN - ADAMS COUNTY","58","58","33","0"
"2020 General Election","01018","TOWN OF MONROE - ADAMS COUNTY","107","107","84","6"
"2020 General Election","01020","TOWN OF NEW CHESTER - ADAMS COUNTY","150","150","113","0"
"2020 General Election","01022","TOWN OF NEW HAVEN - ADAMS COUNTY","114","114","85","0"
"2020 General Election","01024","TOWN OF PRESTON - ADAMS COUNTY","220","220","116","5"
"2020 General Election","01026","TOWN OF QUINCY - ADAMS COUNTY","298","296","237","64"
"2020 General Election","01028","TOWN OF RICHFIELD - ADAMS COUNTY","16","16","12","0"
"2020 General Election","01030","TOWN OF ROME - ADAMS COUNTY","1235","1232","1061","262"
"2020 General Election","01032","TOWN OF SPRINGVILLE - ADAMS COUNTY","255","254","184","0"
"2020 General Election","01034","TOWN OF STRONGS PRAIRIE - ADAMS COUNTY","239","198","155","51"
"2020 General Election","01126","VILLAGE OF FRIENDSHIP - ADAMS COUNTY","106","106","70","23"
"2020 General Election","01201","CITY OF ADAMS - ADAMS COUNTY","249","248","194","58"
"2020 General Election","02002","TOWN OF AGENDA - ASHLAND COUNTY","67","64","58","1"
"2020 General Election","02004","TOWN OF ASHLAND - ASHLAND COUNTY","94","93","67","0"
