
County Name,Absentee Applications
ADAMS COUNTY,2407
ASHLAND COUNTY,2508
BARRON COUNTY,5748
BAYFIELD COUNTY,3267
BROWN COUNTY,51924
BUFFALO COUNTY,833
BURNETT COUNTY,2148
CALUMET COUNTY,8958
CHIPPEWA COUNTY,8997
CLARK COUNTY,1424
COLUMBIA COUNTY,8810
CRAWFORD COUNTY,1369
DANE COUNTY,160221
DODGE COUNTY,10318
DOOR COUNTY,6637
DOUGLAS COUNTY,7346
DUNN COUNTY,5334
EAU CLAIRE COUNTY,16003
FLORENCE COUNTY,849
FOND DU LAC COUNTY,12654
FOREST COUNTY,1140
GRANT COUNTY,4704
GREEN COUNTY,5377
GREEN LAKE COUNTY,2224
IOWA COUNTY,4053
IRON COUNTY,950
JACKSON COUNTY,1646
JEFFERSON COUNTY,13078
JUNEAU COUNTY,1908
KENOSHA COUNTY,26746
KEWAUNEE COUNTY,2601
LA CROSSE COUNTY,21918
LAFAYETTE COUNTY,1762
LANGLADE COUNTY,1386
LINCOLN COUNTY,4029
MANITOWOC COUNTY,10936
MARATHON COUNTY,22254
MARINETTE COUNTY,5611
MARQUETTE COUNTY,1817
MENOMINEE COUNTY,348
MILWAUKEE COUNTY,185719
MONROE COUNTY,4596
OCONTO COUNTY,5579
ONEIDA COUNTY,6670
OUTAGAMIE COUNTY,34661
OZAUKEE COUNTY,20404
PEPIN COUNTY,793
PIERCE COUNTY,5732
POLK COUNTY,4652
PORTAGE COUNTY,12250
PRICE COUNTY,1879
RACINE COUNTY,31400
RICHLAND COUNTY,2106
ROCK COUNTY,25981
RUSK COUNTY,1508
ST. CROIX COUNTY,15866
SAUK COUNTY,10632
SAWYER COUNTY,2820
SHAWANO COUNTY,4661
SHEBOYGAN COUNTY,17551
TAYLOR COUNTY,1927
TREMPEALEAU COUNTY,2159
VERNON COUNTY,3353
VILAS COUNTY,4840
WALWORTH COUNTY,15014
WASHBURN COUNTY,2297
WASHINGTON COUNTY,24292
WAUKESHA COUNTY,87945
WAUPACA COUNTY,6695
WAUSHARA COUNTY,2947
WINNEBAGO COUNTY,30172
WOOD COUNTY,10664
TOTAL,1040008
