"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2020 General Election","01002","TOWN OF ADAMS - ADAMS COUNTY","253","253","221","0"
"2020 General Election","01004","TOWN OF BIG FLATS - ADAMS COUNTY","130","130","95","0"
"2020 General Election","01006","TOWN OF COLBURN - ADAMS COUNTY","52","51","46","0"
"2020 General Election","01008","TOWN OF DELL PRAIRIE - ADAMS COUNTY","459","454","410","152"
"2020 General Election","01010","TOWN OF EASTON - ADAMS COUNTY","180","180","164","56"
"2020 General Election","01012","TOWN OF JACKSON - ADAMS COUNTY","275","264","239","31"
"2020 General Election","01014","TOWN OF LEOLA - ADAMS COUNTY","27","23","17","4"
"2020 General Election","01016","TOWN OF LINCOLN - ADAMS COUNTY","60","60","34","0"
"2020 General Election","01018","TOWN OF MONROE - ADAMS COUNTY","129","129","109","21"
"2020 General Election","01020","TOWN OF NEW CHESTER - ADAMS COUNTY","169","169","146","0"
"2020 General Election","01022","TOWN OF NEW HAVEN - ADAMS COUNTY","120","120","101","2"
"2020 General Election","01024","TOWN OF PRESTON - ADAMS COUNTY","264","263","205","33"
"2020 General Election","01026","TOWN OF QUINCY - ADAMS COUNTY","337","336","300","101"
"2020 General Election","01028","TOWN OF RICHFIELD - ADAMS COUNTY","17","17","16","1"
"2020 General Election","01030","TOWN OF ROME - ADAMS COUNTY","1523","1521","1435","555"
"2020 General Election","01032","TOWN OF SPRINGVILLE - ADAMS COUNTY","286","286","226","2"
"2020 General Election","01034","TOWN OF STRONGS PRAIRIE - ADAMS COUNTY","248","210","178","62"
"2020 General Election","01126","VILLAGE OF FRIENDSHIP - ADAMS COUNTY","116","116","108","33"
"2020 General Election","01201","CITY OF ADAMS - ADAMS COUNTY","295","294","248","106"
"2020 General Election","02002","TOWN OF AGENDA - ASHLAND COUNTY","72","69","64","6"
"2020 General Election","02004","TOWN OF ASHLAND - ASHLAND COUNTY","100","99","83","3"
"2020 General Election","02006","TOWN OF CHIPPEWA - ASHLAND COUNTY","57","57","51","3"
"2020 General Election","02008","TOWN OF GINGLES - ASHLAND COUNTY","180","180","161","5"
"2020 General Election","02010","TOWN OF GORDON - ASHLAND COUNTY","49","49","40","7"
"2020 General Election","02012","TOWN OF JACOBS - ASHLAND COUNTY","108","108","94","0"
"2020 General Election","02014","TOWN OF LA POINTE - ASHLAND COUNTY","173","173","161","60"
"2020 General Election","02016","TOWN OF MARENGO - ASHLAND COUNTY","68","67","57","0"
"2020 General Election","02018","TOWN OF MORSE - ASHLAND COUNTY","138","136","126","4"
"2020 General Election","02020","TOWN OF PEEKSVILLE - ASHLAND COUNTY","34","32","25","4"
"2020 General Election","02022","TOWN OF SANBORN - ASHLAND COUNTY","142","141","111","0"
"2020 General Election","02024","TOWN OF SHANAGOLDEN - ASHLAND COUNTY","25","25","24","0"
"2020 General Election","02026","TOWN OF WHITE RIVER - ASHLAND COUNTY","137","135","112","25"
"2020 General Election","02106","VILLAGE OF BUTTERNUT - ASHLAND COUNTY","66","66","61","17"
"2020 General Election","02201","CITY OF ASHLAND - MULTIPLE COUNTIES","2463","2461","2211","414"
"2020 General Election","02251","CITY OF MELLEN - ASHLAND COUNTY","141","140","134","0"
"2020 General Election","03002","TOWN OF ALMENA - BARRON COUNTY","210","206","176","71"
"2020 General Election","03004","TOWN OF ARLAND - BARRON COUNTY","103","103","82","4"
"2020 General Election","03006","TOWN OF BARRON - BARRON COUNTY","135","135","100","30"
"2020 General Election","03008","TOWN OF BEAR LAKE - BARRON COUNTY","171","169","144","34"
"2020 General Election","03010","TOWN OF CEDAR LAKE - BARRON COUNTY","351","342","298","47"
"2020 General Election","03012","TOWN OF CHETEK - BARRON COUNTY","544","541","505","161"
"2020 General Election","03014","TOWN OF CLINTON - BARRON COUNTY","105","99","88","7"
"2020 General Election","03016","TOWN OF CRYSTAL LAKE - BARRON COUNTY","114","114","86","24"
"2020 General Election","03018","TOWN OF CUMBERLAND - BARRON COUNTY","169","169","147","45"
"2020 General Election","03020","TOWN OF DALLAS - BARRON COUNTY","90","89","76","10"
"2020 General Election","03022","TOWN OF DOVRE - BARRON COUNTY","129","129","103","23"
"2020 General Election","03024","TOWN OF DOYLE - BARRON COUNTY","95","95","66","11"
"2020 General Election","03026","TOWN OF LAKELAND - BARRON COUNTY","206","206","158","26"
"2020 General Election","03028","TOWN OF MAPLE GROVE - BARRON COUNTY","157","149","119","21"
"2020 General Election","03030","TOWN OF MAPLE PLAIN - BARRON COUNTY","178","178","135","32"
"2020 General Election","03032","TOWN OF OAK GROVE - BARRON COUNTY","182","180","145","16"
"2020 General Election","03034","TOWN OF PRAIRIE FARM - BARRON COUNTY","50","50","34","0"
"2020 General Election","03036","TOWN OF PRAIRIE LAKE - BARRON COUNTY","396","391","351","94"
"2020 General Election","03038","TOWN OF RICE LAKE - BARRON COUNTY","1103","1102","1049","420"
"2020 General Election","03040","TOWN OF SIOUX CREEK - BARRON COUNTY","155","155","126","33"
"2020 General Election","03042","TOWN OF STANFOLD - BARRON COUNTY","161","161","147","60"
"2020 General Election","03044","TOWN OF STANLEY - BARRON COUNTY","667","667","598","191"
"2020 General Election","03046","TOWN OF SUMNER - BARRON COUNTY","147","147","135","52"
"2020 General Election","03048","TOWN OF TURTLE LAKE - BARRON COUNTY","80","75","53","13"
"2020 General Election","03050","TOWN OF VANCE CREEK - BARRON COUNTY","64","62","49","4"
"2020 General Election","03101","VILLAGE OF ALMENA - BARRON COUNTY","94","94","81","33"
"2020 General Election","03111","VILLAGE OF CAMERON - BARRON COUNTY","362","362","329","147"
"2020 General Election","03116","VILLAGE OF DALLAS - BARRON COUNTY","47","47","42","11"
"2020 General Election","03136","VILLAGE OF HAUGEN - BARRON COUNTY","27","27","23","4"
"2020 General Election","03171","VILLAGE OF PRAIRIE FARM - BARRON COUNTY","30","30","25","0"
"2020 General Election","03186","VILLAGE OF TURTLE LAKE - MULTIPLE COUNTIES","143","143","130","50"
"2020 General Election","03206","CITY OF BARRON - BARRON COUNTY","874","873","800","317"
"2020 General Election","03211","CITY OF CHETEK - BARRON COUNTY","624","624","592","267"
"2020 General Election","03212","CITY OF CUMBERLAND - BARRON COUNTY","661","658","590","242"
"2020 General Election","03276","CITY OF RICE LAKE - BARRON COUNTY","2839","2836","2590","1044"
"2020 General Election","04002","TOWN OF BARKSDALE - BAYFIELD COUNTY","238","236","216","30"
"2020 General Election","04004","TOWN OF BARNES - BAYFIELD COUNTY","324","320","297","86"
"2020 General Election","04006","TOWN OF BAYFIELD - BAYFIELD COUNTY","329","328","302","43"
"2020 General Election","04008","TOWN OF BAYVIEW - BAYFIELD COUNTY","170","170","161","14"
"2020 General Election","04010","TOWN OF BELL - BAYFIELD COUNTY","150","150","135","10"
"2020 General Election","04012","TOWN OF CABLE - BAYFIELD COUNTY","310","303","285","57"
"2020 General Election","04014","TOWN OF CLOVER - BAYFIELD COUNTY","107","105","99","12"
"2020 General Election","04016","TOWN OF DELTA - BAYFIELD COUNTY","123","123","111","2"
"2020 General Election","04018","TOWN OF DRUMMOND - BAYFIELD COUNTY","157","155","136","17"
"2020 General Election","04020","TOWN OF EILEEN - BAYFIELD COUNTY","160","159","136","0"
"2020 General Election","04021","TOWN OF GRAND VIEW - BAYFIELD COUNTY","130","130","119","24"
"2020 General Election","04022","TOWN OF HUGHES - BAYFIELD COUNTY","130","130","109","9"
"2020 General Election","04024","TOWN OF IRON RIVER - BAYFIELD COUNTY","365","359","294","37"
"2020 General Election","04026","TOWN OF KELLY - BAYFIELD COUNTY","98","98","75","11"
"2020 General Election","04028","TOWN OF KEYSTONE - BAYFIELD COUNTY","61","51","49","1"
"2020 General Election","04030","TOWN OF LINCOLN - BAYFIELD COUNTY","84","80","57","5"
"2020 General Election","04032","TOWN OF MASON - BAYFIELD COUNTY","54","49","46","0"
"2020 General Election","04034","TOWN OF NAMAKAGON - BAYFIELD COUNTY","121","121","117","37"
"2020 General Election","04036","TOWN OF ORIENTA - BAYFIELD COUNTY","28","28","25","4"
"2020 General Election","04038","TOWN OF OULU - BAYFIELD COUNTY","133","133","119","0"
"2020 General Election","04040","TOWN OF PILSEN - BAYFIELD COUNTY","37","37","33","0"
"2020 General Election","04042","TOWN OF PORT WING - BAYFIELD COUNTY","174","174","147","0"
"2020 General Election","04046","TOWN OF RUSSELL - BAYFIELD COUNTY","216","216","168","19"
"2020 General Election","04048","TOWN OF TRIPP - BAYFIELD COUNTY","80","65","41","0"
"2020 General Election","04050","TOWN OF WASHBURN - BAYFIELD COUNTY","225","223","200","19"
"2020 General Election","04151","VILLAGE OF MASON - BAYFIELD COUNTY","15","15","13","0"
"2020 General Election","04206","CITY OF BAYFIELD - BAYFIELD COUNTY","272","271","257","83"
"2020 General Election","04291","CITY OF WASHBURN - BAYFIELD COUNTY","927","927","869","220"
"2020 General Election","05010","TOWN OF EATON - BROWN COUNTY","280","271","193","30"
"2020 General Election","05012","TOWN OF GLENMORE - BROWN COUNTY","228","228","203","36"
"2020 General Election","05014","TOWN OF GREEN BAY - BROWN COUNTY","524","492","308","0"
"2020 General Election","05018","TOWN OF HOLLAND - BROWN COUNTY","480","369","296","24"
"2020 General Election","05022","TOWN OF HUMBOLDT - BROWN COUNTY","313","313","272","87"
"2020 General Election","05024","TOWN OF LAWRENCE - BROWN COUNTY","3154","3154","2990","1234"
"2020 General Election","05025","TOWN OF LEDGEVIEW - BROWN COUNTY","4434","4432","4182","1622"
"2020 General Election","05026","TOWN OF MORRISON - BROWN COUNTY","349","343","256","107"
"2020 General Election","05028","TOWN OF NEW DENMARK - BROWN COUNTY","368","368","348","64"
"2020 General Election","05030","TOWN OF PITTSFIELD - BROWN COUNTY","1236","1226","1152","0"
"2020 General Election","05034","TOWN OF ROCKLAND - BROWN COUNTY","758","758","698","309"
"2020 General Election","05036","TOWN OF SCOTT - BROWN COUNTY","1729","1727","1629","737"
"2020 General Election","05040","TOWN OF WRIGHTSTOWN - BROWN COUNTY","639","637","593","171"
"2020 General Election","05102","VILLAGE OF ALLOUEZ - BROWN COUNTY","6876","6871","6446","2270"
"2020 General Election","05104","VILLAGE OF ASHWAUBENON - BROWN COUNTY","7490","7481","6971","2397"
"2020 General Election","05106","VILLAGE OF BELLEVUE - BROWN COUNTY","6916","6908","6487","1970"
"2020 General Election","05116","VILLAGE OF DENMARK - BROWN COUNTY","640","640","599","193"
"2020 General Election","05126","VILLAGE OF HOBART - BROWN COUNTY","4782","4781","4434","1712"
"2020 General Election","05136","VILLAGE OF HOWARD - MULTIPLE COUNTIES","8551","8547","7939","2681"
"2020 General Election","05171","VILLAGE OF PULASKI - MULTIPLE COUNTIES","1054","1053","949","308"
"2020 General Election","05178","VILLAGE OF SUAMICO - BROWN COUNTY","6534","6533","6152","2653"
"2020 General Election","05191","VILLAGE OF WRIGHTSTOWN - MULTIPLE COUNTIES","1362","1361","1236","622"
"2020 General Election","05216","CITY OF DE PERE - BROWN COUNTY","10840","10830","10188","3171"
"2020 General Election","05231","CITY OF GREEN BAY - BROWN COUNTY","33858","33826","30543","7650"
"2020 General Election","06002","TOWN OF ALMA - BUFFALO COUNTY","58","58","44","2"
"2020 General Election","06004","TOWN OF BELVIDERE - BUFFALO COUNTY","76","73","72","27"
"2020 General Election","06006","TOWN OF BUFFALO - BUFFALO COUNTY","122","122","88","26"
