"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2020 General Election","01002","TOWN OF ADAMS - ADAMS COUNTY","253","253","218","0"
"2020 General Election","01004","TOWN OF BIG FLATS - ADAMS COUNTY","130","130","95","0"
"2020 General Election","01006","TOWN OF COLBURN - ADAMS COUNTY","52","51","43","0"
"2020 General Election","01008","TOWN OF DELL PRAIRIE - ADAMS COUNTY","459","454","410","152"
"2020 General Election","01010","TOWN OF EASTON - ADAMS COUNTY","167","167","150","43"
"2020 General Election","01012","TOWN OF JACKSON - ADAMS COUNTY","271","260","234","27"
"2020 General Election","01014","TOWN OF LEOLA - ADAMS COUNTY","27","23","17","4"
"2020 General Election","01016","TOWN OF LINCOLN - ADAMS COUNTY","60","60","34","0"
"2020 General Election","01018","TOWN OF MONROE - ADAMS COUNTY","129","129","109","21"
"2020 General Election","01020","TOWN OF NEW CHESTER - ADAMS COUNTY","169","169","146","0"
"2020 General Election","01022","TOWN OF NEW HAVEN - ADAMS COUNTY","118","118","96","2"
"2020 General Election","01024","TOWN OF PRESTON - ADAMS COUNTY","263","263","205","33"
"2020 General Election","01026","TOWN OF QUINCY - ADAMS COUNTY","337","336","296","101"
"2020 General Election","01028","TOWN OF RICHFIELD - ADAMS COUNTY","16","16","12","0"
"2020 General Election","01030","TOWN OF ROME - ADAMS COUNTY","1523","1521","1435","555"
"2020 General Election","01032","TOWN OF SPRINGVILLE - ADAMS COUNTY","269","269","205","2"
"2020 General Election","01034","TOWN OF STRONGS PRAIRIE - ADAMS COUNTY","248","210","178","62"
"2020 General Election","01126","VILLAGE OF FRIENDSHIP - ADAMS COUNTY","116","116","108","33"
"2020 General Election","01201","CITY OF ADAMS - ADAMS COUNTY","295","294","248","106"
"2020 General Election","02002","TOWN OF AGENDA - ASHLAND COUNTY","72","69","64","6"
"2020 General Election","02004","TOWN OF ASHLAND - ASHLAND COUNTY","100","99","83","3"
"2020 General Election","02006","TOWN OF CHIPPEWA - ASHLAND COUNTY","57","57","51","3"
"2020 General Election","02008","TOWN OF GINGLES - ASHLAND COUNTY","179","179","159","4"
"2020 General Election","02010","TOWN OF GORDON - ASHLAND COUNTY","49","49","40","7"
"2020 General Election","02012","TOWN OF JACOBS - ASHLAND COUNTY","106","106","92","0"
"2020 General Election","02014","TOWN OF LA POINTE - ASHLAND COUNTY","173","173","161","60"
"2020 General Election","02016","TOWN OF MARENGO - ASHLAND COUNTY","64","64","49","0"
"2020 General Election","02018","TOWN OF MORSE - ASHLAND COUNTY","138","136","126","4"
"2020 General Election","02020","TOWN OF PEEKSVILLE - ASHLAND COUNTY","34","32","25","4"
"2020 General Election","02022","TOWN OF SANBORN - ASHLAND COUNTY","142","141","111","0"
"2020 General Election","02024","TOWN OF SHANAGOLDEN - ASHLAND COUNTY","25","25","24","0"
"2020 General Election","02026","TOWN OF WHITE RIVER - ASHLAND COUNTY","136","134","111","24"
"2020 General Election","02106","VILLAGE OF BUTTERNUT - ASHLAND COUNTY","65","65","60","16"
"2020 General Election","02201","CITY OF ASHLAND - MULTIPLE COUNTIES","2462","2460","2210","413"
"2020 General Election","02251","CITY OF MELLEN - ASHLAND COUNTY","141","140","133","0"
"2020 General Election","03002","TOWN OF ALMENA - BARRON COUNTY","206","202","172","67"
"2020 General Election","03004","TOWN OF ARLAND - BARRON COUNTY","102","102","79","3"
"2020 General Election","03006","TOWN OF BARRON - BARRON COUNTY","128","127","85","22"
"2020 General Election","03008","TOWN OF BEAR LAKE - BARRON COUNTY","163","161","130","26"
"2020 General Election","03010","TOWN OF CEDAR LAKE - BARRON COUNTY","350","341","297","46"
"2020 General Election","03012","TOWN OF CHETEK - BARRON COUNTY","544","541","497","161"
"2020 General Election","03014","TOWN OF CLINTON - BARRON COUNTY","102","96","84","5"
"2020 General Election","03016","TOWN OF CRYSTAL LAKE - BARRON COUNTY","114","114","85","24"
"2020 General Election","03018","TOWN OF CUMBERLAND - BARRON COUNTY","169","169","146","45"
"2020 General Election","03020","TOWN OF DALLAS - BARRON COUNTY","88","87","72","8"
"2020 General Election","03022","TOWN OF DOVRE - BARRON COUNTY","123","123","97","17"
"2020 General Election","03024","TOWN OF DOYLE - BARRON COUNTY","93","93","62","7"
"2020 General Election","03026","TOWN OF LAKELAND - BARRON COUNTY","206","206","157","25"
"2020 General Election","03028","TOWN OF MAPLE GROVE - BARRON COUNTY","157","149","118","21"
"2020 General Election","03030","TOWN OF MAPLE PLAIN - BARRON COUNTY","178","178","135","32"
"2020 General Election","03032","TOWN OF OAK GROVE - BARRON COUNTY","182","180","142","16"
"2020 General Election","03034","TOWN OF PRAIRIE FARM - BARRON COUNTY","50","50","32","0"
"2020 General Election","03036","TOWN OF PRAIRIE LAKE - BARRON COUNTY","396","391","351","94"
"2020 General Election","03038","TOWN OF RICE LAKE - BARRON COUNTY","1103","1102","1043","420"
"2020 General Election","03040","TOWN OF SIOUX CREEK - BARRON COUNTY","155","155","126","33"
"2020 General Election","03042","TOWN OF STANFOLD - BARRON COUNTY","161","161","145","60"
"2020 General Election","03044","TOWN OF STANLEY - BARRON COUNTY","649","649","575","173"
"2020 General Election","03046","TOWN OF SUMNER - BARRON COUNTY","140","140","126","45"
"2020 General Election","03048","TOWN OF TURTLE LAKE - BARRON COUNTY","77","72","50","10"
"2020 General Election","03050","TOWN OF VANCE CREEK - BARRON COUNTY","64","62","46","4"
"2020 General Election","03101","VILLAGE OF ALMENA - BARRON COUNTY","94","94","79","33"
"2020 General Election","03111","VILLAGE OF CAMERON - BARRON COUNTY","362","362","329","147"
"2020 General Election","03116","VILLAGE OF DALLAS - BARRON COUNTY","47","47","42","11"
"2020 General Election","03136","VILLAGE OF HAUGEN - BARRON COUNTY","27","27","23","4"
"2020 General Election","03171","VILLAGE OF PRAIRIE FARM - BARRON COUNTY","30","30","25","0"
"2020 General Election","03186","VILLAGE OF TURTLE LAKE - MULTIPLE COUNTIES","143","143","130","50"
"2020 General Election","03206","CITY OF BARRON - BARRON COUNTY","874","873","795","317"
"2020 General Election","03211","CITY OF CHETEK - BARRON COUNTY","624","624","592","267"
"2020 General Election","03212","CITY OF CUMBERLAND - BARRON COUNTY","661","658","590","242"
"2020 General Election","03276","CITY OF RICE LAKE - BARRON COUNTY","2839","2836","2590","1044"
"2020 General Election","04002","TOWN OF BARKSDALE - BAYFIELD COUNTY","236","234","215","30"
"2020 General Election","04004","TOWN OF BARNES - BAYFIELD COUNTY","324","320","297","86"
"2020 General Election","04006","TOWN OF BAYFIELD - BAYFIELD COUNTY","329","328","302","43"
"2020 General Election","04008","TOWN OF BAYVIEW - BAYFIELD COUNTY","167","167","156","11"
"2020 General Election","04010","TOWN OF BELL - BAYFIELD COUNTY","150","150","132","10"
"2020 General Election","04012","TOWN OF CABLE - BAYFIELD COUNTY","307","300","280","53"
"2020 General Election","04014","TOWN OF CLOVER - BAYFIELD COUNTY","107","105","99","12"
