"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2020 General Election","01002","TOWN OF ADAMS - ADAMS COUNTY","238","238","196","0"
"2020 General Election","01004","TOWN OF BIG FLATS - ADAMS COUNTY","124","124","74","0"
"2020 General Election","01006","TOWN OF COLBURN - ADAMS COUNTY","52","51","43","0"
"2020 General Election","01008","TOWN OF DELL PRAIRIE - ADAMS COUNTY","393","388","314","88"
"2020 General Election","01010","TOWN OF EASTON - ADAMS COUNTY","155","155","124","31"
"2020 General Election","01012","TOWN OF JACKSON - ADAMS COUNTY","243","230","158","0"
"2020 General Election","01014","TOWN OF LEOLA - ADAMS COUNTY","26","22","14","3"
"2020 General Election","01016","TOWN OF LINCOLN - ADAMS COUNTY","58","58","33","0"
"2020 General Election","01018","TOWN OF MONROE - ADAMS COUNTY","114","114","90","12"
"2020 General Election","01020","TOWN OF NEW CHESTER - ADAMS COUNTY","150","150","113","0"
"2020 General Election","01022","TOWN OF NEW HAVEN - ADAMS COUNTY","114","114","87","0"
"2020 General Election","01024","TOWN OF PRESTON - ADAMS COUNTY","220","220","116","5"
"2020 General Election","01026","TOWN OF QUINCY - ADAMS COUNTY","305","304","250","71"
"2020 General Election","01028","TOWN OF RICHFIELD - ADAMS COUNTY","16","16","12","0"
"2020 General Election","01030","TOWN OF ROME - ADAMS COUNTY","1241","1238","1061","262"
"2020 General Election","01032","TOWN OF SPRINGVILLE - ADAMS COUNTY","255","254","184","0"
"2020 General Election","01034","TOWN OF STRONGS PRAIRIE - ADAMS COUNTY","239","198","155","51"
"2020 General Election","01126","VILLAGE OF FRIENDSHIP - ADAMS COUNTY","106","106","70","23"
"2020 General Election","01201","CITY OF ADAMS - ADAMS COUNTY","259","258","205","69"
"2020 General Election","02002","TOWN OF AGENDA - ASHLAND COUNTY","67","64","58","1"
"2020 General Election","02004","TOWN OF ASHLAND - ASHLAND COUNTY","93","92","67","0"
"2020 General Election","02006","TOWN OF CHIPPEWA - ASHLAND COUNTY","55","55","46","3"
"2020 General Election","02008","TOWN OF GINGLES - ASHLAND COUNTY","176","176","151","1"
"2020 General Election","02010","TOWN OF GORDON - ASHLAND COUNTY","44","44","35","2"
"2020 General Election","02012","TOWN OF JACOBS - ASHLAND COUNTY","95","94","72","0"
"2020 General Election","02014","TOWN OF LA POINTE - ASHLAND COUNTY","156","156","142","44"
"2020 General Election","02016","TOWN OF MARENGO - ASHLAND COUNTY","64","64","49","0"
"2020 General Election","02018","TOWN OF MORSE - ASHLAND COUNTY","135","133","115","0"
"2020 General Election","02020","TOWN OF PEEKSVILLE - ASHLAND COUNTY","30","28","19","0"
