
County Name,Absentee Applications
ADAMS COUNTY,2293
ASHLAND COUNTY,2438
BARRON COUNTY,5358
BAYFIELD COUNTY,3187
BROWN COUNTY,50014
BUFFALO COUNTY,705
BURNETT COUNTY,2083
CALUMET COUNTY,8532
CHIPPEWA COUNTY,8696
CLARK COUNTY,1367
COLUMBIA COUNTY,8396
CRAWFORD COUNTY,1334
DANE COUNTY,155017
DODGE COUNTY,9886
DOOR COUNTY,6233
DOUGLAS COUNTY,7215
DUNN COUNTY,5134
EAU CLAIRE COUNTY,15408
FLORENCE COUNTY,819
FOND DU LAC COUNTY,12212
FOREST COUNTY,1122
GRANT COUNTY,4579
GREEN COUNTY,5198
GREEN LAKE COUNTY,2183
IOWA COUNTY,3859
IRON COUNTY,904
JACKSON COUNTY,1595
JEFFERSON COUNTY,12657
JUNEAU COUNTY,1849
KENOSHA COUNTY,25792
KEWAUNEE COUNTY,2498
LA CROSSE COUNTY,21203
LAFAYETTE COUNTY,1693
LANGLADE COUNTY,1355
LINCOLN COUNTY,3950
MANITOWOC COUNTY,10532
MARATHON COUNTY,21702
MARINETTE COUNTY,5358
MARQUETTE COUNTY,1802
MENOMINEE COUNTY,337
MILWAUKEE COUNTY,180860
MONROE COUNTY,4501
OCONTO COUNTY,5359
ONEIDA COUNTY,6409
OUTAGAMIE COUNTY,33294
OZAUKEE COUNTY,19747
PEPIN COUNTY,783
PIERCE COUNTY,5594
POLK COUNTY,4535
PORTAGE COUNTY,11871
PRICE COUNTY,1843
RACINE COUNTY,30535
RICHLAND COUNTY,2083
ROCK COUNTY,25064
RUSK COUNTY,1459
ST. CROIX COUNTY,15103
SAUK COUNTY,10304
SAWYER COUNTY,2758
SHAWANO COUNTY,4518
SHEBOYGAN COUNTY,16920
TAYLOR COUNTY,1871
TREMPEALEAU COUNTY,2092
VERNON COUNTY,3242
VILAS COUNTY,4707
WALWORTH COUNTY,14444
WASHBURN COUNTY,2270
WASHINGTON COUNTY,23373
WAUKESHA COUNTY,85164
WAUPACA COUNTY,6462
WAUSHARA COUNTY,2875
WINNEBAGO COUNTY,29287
WOOD COUNTY,10355
TOTAL,1006177
