
County Name,Absentee Applications
ADAMS COUNTY,2262
ASHLAND COUNTY,2403
BARRON COUNTY,5277
BAYFIELD COUNTY,3145
BROWN COUNTY,49232
BUFFALO COUNTY,677
BURNETT COUNTY,2060
CALUMET COUNTY,8316
CHIPPEWA COUNTY,8529
CLARK COUNTY,1361
COLUMBIA COUNTY,8196
CRAWFORD COUNTY,1306
DANE COUNTY,150958
DODGE COUNTY,9575
DOOR COUNTY,6182
DOUGLAS COUNTY,7091
DUNN COUNTY,5056
EAU CLAIRE COUNTY,15018
FLORENCE COUNTY,810
FOND DU LAC COUNTY,11852
FOREST COUNTY,1110
GRANT COUNTY,4515
GREEN COUNTY,5101
GREEN LAKE COUNTY,2140
IOWA COUNTY,3766
IRON COUNTY,894
JACKSON COUNTY,1543
JEFFERSON COUNTY,12388
JUNEAU COUNTY,1815
KENOSHA COUNTY,25318
KEWAUNEE COUNTY,2469
LA CROSSE COUNTY,20806
LAFAYETTE COUNTY,1649
LANGLADE COUNTY,1337
LINCOLN COUNTY,3919
MANITOWOC COUNTY,10240
MARATHON COUNTY,21398
MARINETTE COUNTY,5248
MARQUETTE COUNTY,1780
MENOMINEE COUNTY,334
MILWAUKEE COUNTY,177475
MONROE COUNTY,4424
OCONTO COUNTY,5122
ONEIDA COUNTY,6287
OUTAGAMIE COUNTY,32343
OZAUKEE COUNTY,19354
PEPIN COUNTY,771
PIERCE COUNTY,5446
POLK COUNTY,4482
PORTAGE COUNTY,11669
PRICE COUNTY,1825
RACINE COUNTY,29923
RICHLAND COUNTY,2068
ROCK COUNTY,24435
RUSK COUNTY,1452
ST. CROIX COUNTY,14539
SAUK COUNTY,10074
SAWYER COUNTY,2679
SHAWANO COUNTY,4437
SHEBOYGAN COUNTY,16535
TAYLOR COUNTY,1851
TREMPEALEAU COUNTY,2024
VERNON COUNTY,3228
VILAS COUNTY,4557
WALWORTH COUNTY,14022
WASHBURN COUNTY,2253
WASHINGTON COUNTY,22961
WAUKESHA COUNTY,82789
WAUPACA COUNTY,6300
WAUSHARA COUNTY,2847
WINNEBAGO COUNTY,28671
WOOD COUNTY,10227
TOTAL,984146
