"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2024 General Election","01002","TOWN OF ADAMS - ADAMS COUNTY","68","68","30","0"
"2024 General Election","01004","TOWN OF BIG FLATS - ADAMS COUNTY","46","43","13","0"
"2024 General Election","01006","TOWN OF COLBURN - ADAMS COUNTY","18","17","0","0"
"2024 General Election","01008","TOWN OF DELL PRAIRIE - ADAMS COUNTY","92","90","23","0"
"2024 General Election","01010","TOWN OF EASTON - ADAMS COUNTY","71","70","22","0"
"2024 General Election","01012","TOWN OF JACKSON - ADAMS COUNTY","83","83","16","0"
"2024 General Election","01014","TOWN OF LEOLA - ADAMS COUNTY","9","9","0","0"
"2024 General Election","01016","TOWN OF LINCOLN - ADAMS COUNTY","24","24","6","0"
"2024 General Election","01018","TOWN OF MONROE - ADAMS COUNTY","29","29","8","0"
"2024 General Election","01020","TOWN OF NEW CHESTER - ADAMS COUNTY","69","66","22","0"
"2024 General Election","01022","TOWN OF NEW HAVEN - ADAMS COUNTY","39","39","6","0"
"2024 General Election","01024","TOWN OF PRESTON - ADAMS COUNTY","95","94","18","0"
"2024 General Election","01026","TOWN OF QUINCY - ADAMS COUNTY","87","87","26","0"
"2024 General Election","01028","TOWN OF RICHFIELD - ADAMS COUNTY","3","3","0","0"
"2024 General Election","01030","TOWN OF ROME - ADAMS COUNTY","318","315","84","0"
"2024 General Election","01032","TOWN OF SPRINGVILLE - ADAMS COUNTY","90","90","27","0"
"2024 General Election","01034","TOWN OF STRONGS PRAIRIE - ADAMS COUNTY","72","69","23","0"
"2024 General Election","01126","VILLAGE OF FRIENDSHIP - ADAMS COUNTY","20","20","8","0"
"2024 General Election","01201","CITY OF ADAMS - ADAMS COUNTY","70","69","18","0"
"2024 General Election","02002","TOWN OF AGENDA - ASHLAND COUNTY","23","23","5","0"
"2024 General Election","02004","TOWN OF ASHLAND - ASHLAND COUNTY","37","0","0",""
"2024 General Election","02006","TOWN OF CHIPPEWA - ASHLAND COUNTY","24","24","0","0"
"2024 General Election","02008","TOWN OF GINGLES - ASHLAND COUNTY","45","45","0","0"
"2024 General Election","02010","TOWN OF GORDON - ASHLAND COUNTY","25","25","5","0"
"2024 General Election","02012","TOWN OF JACOBS - ASHLAND COUNTY","17","16","3","0"
"2024 General Election","02014","TOWN OF LA POINTE - ASHLAND COUNTY","38","38","10","0"
"2024 General Election","02016","TOWN OF MARENGO - ASHLAND COUNTY","18","17","1","0"
"2024 General Election","02018","TOWN OF MORSE - ASHLAND COUNTY","46","44","0","0"
"2024 General Election","02020","TOWN OF PEEKSVILLE - ASHLAND COUNTY","4","3","2","0"
"2024 General Election","02022","TOWN OF SANBORN - ASHLAND COUNTY","20","20","0","0"
"2024 General Election","02024","TOWN OF SHANAGOLDEN - ASHLAND COUNTY","7","6","0","0"
"2024 General Election","02026","TOWN OF WHITE RIVER - ASHLAND COUNTY","44","36","6","0"
"2024 General Election","02106","VILLAGE OF BUTTERNUT - ASHLAND COUNTY","9","9","0","0"
"2024 General Election","02201","CITY OF ASHLAND - MULTIPLE COUNTIES","561","556","158","0"
"2024 General Election","02251","CITY OF MELLEN - ASHLAND COUNTY","28","28","11","0"
"2024 General Election","03002","TOWN OF ALMENA - BARRON COUNTY","62","59","7","0"
"2024 General Election","03004","TOWN OF ARLAND - BARRON COUNTY","25","0","0",""
"2024 General Election","03006","TOWN OF BARRON - BARRON COUNTY","20","19","7","0"
"2024 General Election","03008","TOWN OF BEAR LAKE - BARRON COUNTY","43","43","8","0"
"2024 General Election","03010","TOWN OF CEDAR LAKE - BARRON COUNTY","110","110","29","0"
"2024 General Election","03012","TOWN OF CHETEK - BARRON COUNTY","152","150","64","0"
"2024 General Election","03014","TOWN OF CLINTON - BARRON COUNTY","35","35","0","0"
"2024 General Election","03016","TOWN OF CRYSTAL LAKE - BARRON COUNTY","28","28","7","0"
"2024 General Election","03018","TOWN OF CUMBERLAND - BARRON COUNTY","27","27","7","0"
"2024 General Election","03020","TOWN OF DALLAS - BARRON COUNTY","21","17","1","0"
"2024 General Election","03022","TOWN OF DOVRE - BARRON COUNTY","40","39","0","0"
"2024 General Election","03024","TOWN OF DOYLE - BARRON COUNTY","21","19","0","0"
"2024 General Election","03026","TOWN OF LAKELAND - BARRON COUNTY","58","58","0","0"
"2024 General Election","03028","TOWN OF MAPLE GROVE - BARRON COUNTY","38","37","5","0"
"2024 General Election","03030","TOWN OF MAPLE PLAIN - BARRON COUNTY","62","62","0","0"
"2024 General Election","03032","TOWN OF OAK GROVE - BARRON COUNTY","39","39","15","0"
"2024 General Election","03034","TOWN OF PRAIRIE FARM - BARRON COUNTY","7","7","0","0"
"2024 General Election","03036","TOWN OF PRAIRIE LAKE - BARRON COUNTY","105","104","33","0"
"2024 General Election","03038","TOWN OF RICE LAKE - BARRON COUNTY","175","174","45","0"
"2024 General Election","03040","TOWN OF SIOUX CREEK - BARRON COUNTY","25","24","7","0"
"2024 General Election","03042","TOWN OF STANFOLD - BARRON COUNTY","22","22","3","0"
"2024 General Election","03044","TOWN OF STANLEY - BARRON COUNTY","157","157","50","0"
"2024 General Election","03046","TOWN OF SUMNER - BARRON COUNTY","17","17","6","0"
"2024 General Election","03048","TOWN OF TURTLE LAKE - BARRON COUNTY","17","17","2","0"
"2024 General Election","03050","TOWN OF VANCE CREEK - BARRON COUNTY","7","7","1","0"
"2024 General Election","03101","VILLAGE OF ALMENA - BARRON COUNTY","13","13","7","0"
"2024 General Election","03111","VILLAGE OF CAMERON - BARRON COUNTY","62","62","19","0"
"2024 General Election","03116","VILLAGE OF DALLAS - BARRON COUNTY","6","6","0","0"
"2024 General Election","03136","VILLAGE OF HAUGEN - BARRON COUNTY","8","7","5","0"
"2024 General Election","03171","VILLAGE OF PRAIRIE FARM - BARRON COUNTY","5","5","0","0"
"2024 General Election","03186","VILLAGE OF TURTLE LAKE - MULTIPLE COUNTIES","29","29","9","0"
"2024 General Election","03206","CITY OF BARRON - BARRON COUNTY","191","189","54","0"
"2024 General Election","03211","CITY OF CHETEK - BARRON COUNTY","107","103","36","0"
"2024 General Election","03212","CITY OF CUMBERLAND - BARRON COUNTY","156","155","57","0"
"2024 General Election","03276","CITY OF RICE LAKE - BARRON COUNTY","604","604","142","0"
"2024 General Election","04002","TOWN OF BARKSDALE - BAYFIELD COUNTY","51","37","0","0"
"2024 General Election","04004","TOWN OF BARNES - BAYFIELD COUNTY","101","84","23","0"
"2024 General Election","04006","TOWN OF BAYFIELD - BAYFIELD COUNTY","99","97","15","0"
"2024 General Election","04008","TOWN OF BAYVIEW - BAYFIELD COUNTY","53","53","17","0"
"2024 General Election","04010","TOWN OF BELL - BAYFIELD COUNTY","49","49","14","0"
"2024 General Election","04012","TOWN OF CABLE - BAYFIELD COUNTY","80","79","18","0"
"2024 General Election","04014","TOWN OF CLOVER - BAYFIELD COUNTY","28","28","8","0"
"2024 General Election","04016","TOWN OF DELTA - BAYFIELD COUNTY","38","36","0","0"
"2024 General Election","04018","TOWN OF DRUMMOND - BAYFIELD COUNTY","55","53","14","0"
"2024 General Election","04020","TOWN OF EILEEN - BAYFIELD COUNTY","34","34","8","0"
"2024 General Election","04021","TOWN OF GRAND VIEW - BAYFIELD COUNTY","48","48","14","0"
"2024 General Election","04022","TOWN OF HUGHES - BAYFIELD COUNTY","44","42","0","0"
"2024 General Election","04024","TOWN OF IRON RIVER - BAYFIELD COUNTY","109","104","11","0"
"2024 General Election","04026","TOWN OF KELLY - BAYFIELD COUNTY","24","24","7","0"
"2024 General Election","04028","TOWN OF KEYSTONE - BAYFIELD COUNTY","17","0","0",""
"2024 General Election","04030","TOWN OF LINCOLN - BAYFIELD COUNTY","25","25","0","0"
"2024 General Election","04032","TOWN OF MASON - BAYFIELD COUNTY","11","11","0","0"
"2024 General Election","04034","TOWN OF NAMAKAGON - BAYFIELD COUNTY","43","43","7","0"
"2024 General Election","04036","TOWN OF ORIENTA - BAYFIELD COUNTY","7","7","0","0"
"2024 General Election","04038","TOWN OF OULU - BAYFIELD COUNTY","42","41","15","0"
"2024 General Election","04040","TOWN OF PILSEN - BAYFIELD COUNTY","5","0","0",""
"2024 General Election","04042","TOWN OF PORT WING - BAYFIELD COUNTY","35","34","8","0"
"2024 General Election","04046","TOWN OF RUSSELL - BAYFIELD COUNTY","54","54","7","0"
"2024 General Election","04048","TOWN OF TRIPP - BAYFIELD COUNTY","7","7","2","0"
"2024 General Election","04050","TOWN OF WASHBURN - BAYFIELD COUNTY","57","57","17","0"
"2024 General Election","04151","VILLAGE OF MASON - BAYFIELD COUNTY","9","0","0",""
"2024 General Election","04206","CITY OF BAYFIELD - BAYFIELD COUNTY","64","64","27","0"
"2024 General Election","04291","CITY OF WASHBURN - BAYFIELD COUNTY","236","233","53","0"
"2024 General Election","05010","TOWN OF EATON - BROWN COUNTY","84","60","14","0"
"2024 General Election","05012","TOWN OF GLENMORE - BROWN COUNTY","60","60","17","0"
"2024 General Election","05014","TOWN OF GREEN BAY - BROWN COUNTY","215","166","27","0"
"2024 General Election","05018","TOWN OF HOLLAND - BROWN COUNTY","117","100","17","0"
"2024 General Election","05022","TOWN OF HUMBOLDT - BROWN COUNTY","54","53","15","0"
"2024 General Election","05024","TOWN OF LAWRENCE - BROWN COUNTY","624","622","158","0"
"2024 General Election","05025","TOWN OF LEDGEVIEW - BROWN COUNTY","1104","1101","326","0"
"2024 General Election","05026","TOWN OF MORRISON - BROWN COUNTY","79","65","9","0"
"2024 General Election","05028","TOWN OF NEW DENMARK - BROWN COUNTY","71","71","16","0"
"2024 General Election","05030","TOWN OF PITTSFIELD - BROWN COUNTY","306","262","54","0"
"2024 General Election","05034","TOWN OF ROCKLAND - BROWN COUNTY","82","82","22","0"
"2024 General Election","05036","TOWN OF SCOTT - BROWN COUNTY","363","363","95","0"
"2024 General Election","05040","TOWN OF WRIGHTSTOWN - BROWN COUNTY","154","154","25","0"
"2024 General Election","05102","VILLAGE OF ALLOUEZ - BROWN COUNTY","1512","1507","347","0"
"2024 General Election","05104","VILLAGE OF ASHWAUBENON - BROWN COUNTY","1539","1537","412","0"
"2024 General Election","05106","VILLAGE OF BELLEVUE - BROWN COUNTY","1904","1698","491","0"
"2024 General Election","05116","VILLAGE OF DENMARK - BROWN COUNTY","125","123","41","0"
"2024 General Election","05121","VILLAGE OF GREENLEAF - BROWN COUNTY","25","25","8","0"
"2024 General Election","05126","VILLAGE OF HOBART - BROWN COUNTY","1111","1097","263","0"
"2024 General Election","05136","VILLAGE OF HOWARD - MULTIPLE COUNTIES","2004","1998","699","0"
"2024 General Election","05171","VILLAGE OF PULASKI - MULTIPLE COUNTIES","290","258","56","0"
"2024 General Election","05178","VILLAGE OF SUAMICO - BROWN COUNTY","1092","1090","315","0"
"2024 General Election","05191","VILLAGE OF WRIGHTSTOWN - MULTIPLE COUNTIES","194","191","51","0"
"2024 General Election","05216","CITY OF DE PERE - BROWN COUNTY","2652","2491","798","0"
"2024 General Election","05231","CITY OF GREEN BAY - BROWN COUNTY","8245","7971","2397","0"
"2024 General Election","06002","TOWN OF ALMA - BUFFALO COUNTY","7","4","0","0"
"2024 General Election","06004","TOWN OF BELVIDERE - BUFFALO COUNTY","12","11","2","0"
"2024 General Election","06006","TOWN OF BUFFALO - BUFFALO COUNTY","29","22","0","0"
"2024 General Election","06008","TOWN OF CANTON - BUFFALO COUNTY","5","5","0","0"
"2024 General Election","06010","TOWN OF CROSS - BUFFALO COUNTY","22","22","6","0"
"2024 General Election","06012","TOWN OF DOVER - BUFFALO COUNTY","4","0","0",""
"2024 General Election","06014","TOWN OF GILMANTON - BUFFALO COUNTY","16","16","0","0"
"2024 General Election","06016","TOWN OF GLENCOE - BUFFALO COUNTY","10","9","1","0"
"2024 General Election","06018","TOWN OF LINCOLN - BUFFALO COUNTY","15","15","3","0"
"2024 General Election","06020","TOWN OF MAXVILLE - BUFFALO COUNTY","26","24","9","0"
"2024 General Election","06022","TOWN OF MILTON - BUFFALO COUNTY","16","14","5","0"
"2024 General Election","06024","TOWN OF MODENA - BUFFALO COUNTY","4","4","0","0"
"2024 General Election","06026","TOWN OF MONDOVI - BUFFALO COUNTY","9","7","2","0"
"2024 General Election","06028","TOWN OF MONTANA - BUFFALO COUNTY","4","3","0","0"
"2024 General Election","06030","TOWN OF NAPLES - BUFFALO COUNTY","27","21","0","0"
"2024 General Election","06032","TOWN OF NELSON - BUFFALO COUNTY","28","26","0","0"
"2024 General Election","06034","TOWN OF WAUMANDEE - BUFFALO COUNTY","16","16","0","0"
"2024 General Election","06111","VILLAGE OF COCHRANE - BUFFALO COUNTY","17","17","3","0"
"2024 General Election","06201","CITY OF ALMA - BUFFALO COUNTY","53","53","15","0"
"2024 General Election","06206","CITY OF BUFFALO CITY - BUFFALO COUNTY","38","38","13","0"
"2024 General Election","06226","CITY OF FOUNTAIN CITY - BUFFALO COUNTY","18","17","3","0"
"2024 General Election","06251","CITY OF MONDOVI - BUFFALO COUNTY","100","87","11","0"
"2024 General Election","07002","TOWN OF ANDERSON - BURNETT COUNTY","21","20","4","0"
"2024 General Election","07004","TOWN OF BLAINE - BURNETT COUNTY","16","16","0","0"
"2024 General Election","07006","TOWN OF DANIELS - BURNETT COUNTY","38","38","10","0"
"2024 General Election","07008","TOWN OF DEWEY - BURNETT COUNTY","15","13","2","0"
"2024 General Election","07010","TOWN OF GRANTSBURG - BURNETT COUNTY","68","66","30","0"
"2024 General Election","07012","TOWN OF JACKSON - BURNETT COUNTY","93","82","0","0"
"2024 General Election","07014","TOWN OF LA FOLLETTE - BURNETT COUNTY","26","26","3","0"
"2024 General Election","07016","TOWN OF LINCOLN - BURNETT COUNTY","9","4","0","0"
"2024 General Election","07018","TOWN OF MEENON - BURNETT COUNTY","55","51","7","0"
"2024 General Election","07020","TOWN OF OAKLAND - BURNETT COUNTY","121","121","42","0"
"2024 General Election","07022","TOWN OF ROOSEVELT - BURNETT COUNTY","9","7","0","0"
"2024 General Election","07024","TOWN OF RUSK - BURNETT COUNTY","26","23","0","0"
"2024 General Election","07026","TOWN OF SAND LAKE - BURNETT COUNTY","42","42","16","0"
"2024 General Election","07028","TOWN OF SCOTT - BURNETT COUNTY","70","70","23","0"
"2024 General Election","07030","TOWN OF SIREN - BURNETT COUNTY","66","66","26","0"
"2024 General Election","07032","TOWN OF SWISS - BURNETT COUNTY","73","72","20","0"
"2024 General Election","07034","TOWN OF TRADE LAKE - BURNETT COUNTY","70","69","13","0"
"2024 General Election","07036","TOWN OF UNION - BURNETT COUNTY","36","35","0","0"
"2024 General Election","07038","TOWN OF WEBB LAKE - BURNETT COUNTY","61","60","9","0"
