
County Name,Absentee Applications
ADAMS COUNTY,2221
ASHLAND COUNTY,2325
BARRON COUNTY,5014
BAYFIELD COUNTY,2953
BROWN COUNTY,46219
BUFFALO COUNTY,615
BURNETT COUNTY,1982
CALUMET COUNTY,7918
CHIPPEWA COUNTY,8088
CLARK COUNTY,1306
COLUMBIA COUNTY,7712
CRAWFORD COUNTY,1205
DANE COUNTY,143837
DODGE COUNTY,9023
DOOR COUNTY,6022
DOUGLAS COUNTY,6753
DUNN COUNTY,4793
EAU CLAIRE COUNTY,14084
FLORENCE COUNTY,781
FOND DU LAC COUNTY,11161
FOREST COUNTY,1087
GRANT COUNTY,4231
GREEN COUNTY,4780
GREEN LAKE COUNTY,2061
IOWA COUNTY,3603
IRON COUNTY,859
JACKSON COUNTY,1495
JEFFERSON COUNTY,11747
JUNEAU COUNTY,1724
KENOSHA COUNTY,23961
KEWAUNEE COUNTY,2400
LA CROSSE COUNTY,19693
LAFAYETTE COUNTY,1598
LANGLADE COUNTY,1256
LINCOLN COUNTY,3758
MANITOWOC COUNTY,9726
MARATHON COUNTY,20570
MARINETTE COUNTY,4898
MARQUETTE COUNTY,1748
MENOMINEE COUNTY,329
MILWAUKEE COUNTY,170517
MONROE COUNTY,4169
OCONTO COUNTY,4924
ONEIDA COUNTY,6057
OUTAGAMIE COUNTY,30451
OZAUKEE COUNTY,18289
PEPIN COUNTY,759
PIERCE COUNTY,5210
POLK COUNTY,4190
PORTAGE COUNTY,11128
PRICE COUNTY,1779
RACINE COUNTY,28405
RICHLAND COUNTY,2022
ROCK COUNTY,23064
RUSK COUNTY,1439
ST. CROIX COUNTY,13675
SAUK COUNTY,9571
SAWYER COUNTY,2529
SHAWANO COUNTY,4262
SHEBOYGAN COUNTY,15587
TAYLOR COUNTY,1776
TREMPEALEAU COUNTY,1884
VERNON COUNTY,3130
VILAS COUNTY,4354
WALWORTH COUNTY,13150
WASHBURN COUNTY,2191
WASHINGTON COUNTY,21647
WAUKESHA COUNTY,78594
WAUPACA COUNTY,6019
WAUSHARA COUNTY,2736
WINNEBAGO COUNTY,27048
WOOD COUNTY,9786
TOTAL,935878
