
County Name,Absentee Applications
ADAMS COUNTY,2191
ASHLAND COUNTY,2312
BARRON COUNTY,4622
BAYFIELD COUNTY,2943
BROWN COUNTY,45796
BUFFALO COUNTY,606
BURNETT COUNTY,1933
CALUMET COUNTY,7785
CHIPPEWA COUNTY,8034
CLARK COUNTY,1251
COLUMBIA COUNTY,7627
CRAWFORD COUNTY,1199
DANE COUNTY,142757
DODGE COUNTY,8896
DOOR COUNTY,5887
DOUGLAS COUNTY,6650
DUNN COUNTY,4758
EAU CLAIRE COUNTY,13969
FLORENCE COUNTY,780
FOND DU LAC COUNTY,11062
FOREST COUNTY,1086
GRANT COUNTY,4185
GREEN COUNTY,4715
GREEN LAKE COUNTY,2040
IOWA COUNTY,3562
IRON COUNTY,852
JACKSON COUNTY,1473
JEFFERSON COUNTY,11618
JUNEAU COUNTY,1704
KENOSHA COUNTY,23725
KEWAUNEE COUNTY,2373
LA CROSSE COUNTY,19548
LAFAYETTE COUNTY,1589
LANGLADE COUNTY,1232
LINCOLN COUNTY,3675
MANITOWOC COUNTY,9626
MARATHON COUNTY,20364
MARINETTE COUNTY,4851
MARQUETTE COUNTY,1707
MENOMINEE COUNTY,327
MILWAUKEE COUNTY,169583
MONROE COUNTY,4156
OCONTO COUNTY,4839
ONEIDA COUNTY,5961
OUTAGAMIE COUNTY,30078
OZAUKEE COUNTY,18137
PEPIN COUNTY,754
PIERCE COUNTY,5175
POLK COUNTY,4125
PORTAGE COUNTY,11034
PRICE COUNTY,1770
RACINE COUNTY,28053
RICHLAND COUNTY,2013
ROCK COUNTY,22854
RUSK COUNTY,1436
ST. CROIX COUNTY,13568
SAUK COUNTY,9471
SAWYER COUNTY,2465
SHAWANO COUNTY,4193
SHEBOYGAN COUNTY,15470
TAYLOR COUNTY,1756
TREMPEALEAU COUNTY,1875
VERNON COUNTY,3116
VILAS COUNTY,4317
WALWORTH COUNTY,12991
WASHBURN COUNTY,2185
WASHINGTON COUNTY,21394
WAUKESHA COUNTY,77827
WAUPACA COUNTY,5949
WAUSHARA COUNTY,2708
WINNEBAGO COUNTY,26821
WOOD COUNTY,9658
TOTAL,927042
