"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2020 General Election","01002","TOWN OF ADAMS - ADAMS COUNTY","241","239","196","0"
"2020 General Election","01004","TOWN OF BIG FLATS - ADAMS COUNTY","124","124","74","0"
"2020 General Election","01006","TOWN OF COLBURN - ADAMS COUNTY","52","51","43","0"
"2020 General Election","01008","TOWN OF DELL PRAIRIE - ADAMS COUNTY","415","409","341","108"
"2020 General Election","01010","TOWN OF EASTON - ADAMS COUNTY","159","159","137","35"
"2020 General Election","01012","TOWN OF JACKSON - ADAMS COUNTY","243","230","158","0"
"2020 General Election","01014","TOWN OF LEOLA - ADAMS COUNTY","27","23","17","4"
"2020 General Election","01016","TOWN OF LINCOLN - ADAMS COUNTY","58","58","33","0"
"2020 General Election","01018","TOWN OF MONROE - ADAMS COUNTY","120","120","98","15"
"2020 General Election","01020","TOWN OF NEW CHESTER - ADAMS COUNTY","161","161","126","0"
"2020 General Election","01022","TOWN OF NEW HAVEN - ADAMS COUNTY","114","114","90","0"
"2020 General Election","01024","TOWN OF PRESTON - ADAMS COUNTY","220","220","125","5"
"2020 General Election","01026","TOWN OF QUINCY - ADAMS COUNTY","320","319","274","85"
"2020 General Election","01028","TOWN OF RICHFIELD - ADAMS COUNTY","16","16","12","0"
"2020 General Election","01030","TOWN OF ROME - ADAMS COUNTY","1357","1354","1223","381"
"2020 General Election","01032","TOWN OF SPRINGVILLE - ADAMS COUNTY","267","267","203","0"
"2020 General Election","01034","TOWN OF STRONGS PRAIRIE - ADAMS COUNTY","238","199","165","51"
"2020 General Election","01126","VILLAGE OF FRIENDSHIP - ADAMS COUNTY","113","113","97","30"
"2020 General Election","01201","CITY OF ADAMS - ADAMS COUNTY","274","273","220","84"
"2020 General Election","02002","TOWN OF AGENDA - ASHLAND COUNTY","67","64","58","1"
"2020 General Election","02004","TOWN OF ASHLAND - ASHLAND COUNTY","97","96","80","0"
"2020 General Election","02006","TOWN OF CHIPPEWA - ASHLAND COUNTY","56","56","49","3"
"2020 General Election","02008","TOWN OF GINGLES - ASHLAND COUNTY","176","176","155","1"
"2020 General Election","02010","TOWN OF GORDON - ASHLAND COUNTY","48","48","39","6"
"2020 General Election","02012","TOWN OF JACOBS - ASHLAND COUNTY","101","100","83","0"
"2020 General Election","02014","TOWN OF LA POINTE - ASHLAND COUNTY","160","160","147","48"
"2020 General Election","02016","TOWN OF MARENGO - ASHLAND COUNTY","64","64","49","0"
"2020 General Election","02018","TOWN OF MORSE - ASHLAND COUNTY","136","134","120","1"
"2020 General Election","02020","TOWN OF PEEKSVILLE - ASHLAND COUNTY","32","30","23","2"
