
County Name,Absentee Applications
ADAMS COUNTY,2238
ASHLAND COUNTY,2370
BARRON COUNTY,5217
BAYFIELD COUNTY,3128
BROWN COUNTY,48342
BUFFALO COUNTY,654
BURNETT COUNTY,2045
CALUMET COUNTY,8214
CHIPPEWA COUNTY,8347
CLARK COUNTY,1354
COLUMBIA COUNTY,8020
CRAWFORD COUNTY,1269
DANE COUNTY,148272
DODGE COUNTY,9396
DOOR COUNTY,6139
DOUGLAS COUNTY,6986
DUNN COUNTY,4934
EAU CLAIRE COUNTY,14658
FLORENCE COUNTY,800
FOND DU LAC COUNTY,11690
FOREST COUNTY,1099
GRANT COUNTY,4438
GREEN COUNTY,4990
GREEN LAKE COUNTY,2110
IOWA COUNTY,3701
IRON COUNTY,882
JACKSON COUNTY,1533
JEFFERSON COUNTY,12170
JUNEAU COUNTY,1803
KENOSHA COUNTY,24909
KEWAUNEE COUNTY,2454
LA CROSSE COUNTY,20282
LAFAYETTE COUNTY,1638
LANGLADE COUNTY,1314
LINCOLN COUNTY,3852
MANITOWOC COUNTY,10096
MARATHON COUNTY,21136
MARINETTE COUNTY,5155
MARQUETTE COUNTY,1775
MENOMINEE COUNTY,332
MILWAUKEE COUNTY,175567
MONROE COUNTY,4325
OCONTO COUNTY,5037
ONEIDA COUNTY,6212
OUTAGAMIE COUNTY,31700
OZAUKEE COUNTY,18931
PEPIN COUNTY,768
PIERCE COUNTY,5366
POLK COUNTY,4378
PORTAGE COUNTY,11501
PRICE COUNTY,1811
RACINE COUNTY,29452
RICHLAND COUNTY,2054
ROCK COUNTY,23980
RUSK COUNTY,1452
ST. CROIX COUNTY,14232
SAUK COUNTY,9924
SAWYER COUNTY,2639
SHAWANO COUNTY,4375
SHEBOYGAN COUNTY,16148
TAYLOR COUNTY,1842
TREMPEALEAU COUNTY,1977
VERNON COUNTY,3218
VILAS COUNTY,4489
WALWORTH COUNTY,13703
WASHBURN COUNTY,2233
WASHINGTON COUNTY,22611
WAUKESHA COUNTY,81399
WAUPACA COUNTY,6194
WAUSHARA COUNTY,2806
WINNEBAGO COUNTY,28109
WOOD COUNTY,10080
TOTAL,968255
