
County Name,Absentee Applications
ADAMS COUNTY,2238
ASHLAND COUNTY,2336
BARRON COUNTY,5119
BAYFIELD COUNTY,3068
BROWN COUNTY,46634
BUFFALO COUNTY,625
BURNETT COUNTY,2002
CALUMET COUNTY,8006
CHIPPEWA COUNTY,8136
CLARK COUNTY,1319
COLUMBIA COUNTY,7851
CRAWFORD COUNTY,1224
DANE COUNTY,145431
DODGE COUNTY,9158
DOOR COUNTY,6071
DOUGLAS COUNTY,6869
DUNN COUNTY,4832
EAU CLAIRE COUNTY,14223
FLORENCE COUNTY,785
FOND DU LAC COUNTY,11350
FOREST COUNTY,1089
GRANT COUNTY,4321
GREEN COUNTY,4844
GREEN LAKE COUNTY,2068
IOWA COUNTY,3635
IRON COUNTY,864
JACKSON COUNTY,1510
JEFFERSON COUNTY,11904
JUNEAU COUNTY,1748
KENOSHA COUNTY,24216
KEWAUNEE COUNTY,2426
LA CROSSE COUNTY,19862
LAFAYETTE COUNTY,1611
LANGLADE COUNTY,1277
LINCOLN COUNTY,3803
MANITOWOC COUNTY,9860
MARATHON COUNTY,20784
MARINETTE COUNTY,5016
MARQUETTE COUNTY,1749
MENOMINEE COUNTY,332
MILWAUKEE COUNTY,172246
MONROE COUNTY,4214
OCONTO COUNTY,4979
ONEIDA COUNTY,6111
OUTAGAMIE COUNTY,30825
OZAUKEE COUNTY,18485
PEPIN COUNTY,761
PIERCE COUNTY,5272
POLK COUNTY,4233
PORTAGE COUNTY,11280
PRICE COUNTY,1790
RACINE COUNTY,28752
RICHLAND COUNTY,2029
ROCK COUNTY,23454
RUSK COUNTY,1441
ST. CROIX COUNTY,13857
SAUK COUNTY,9683
SAWYER COUNTY,2563
SHAWANO COUNTY,4309
SHEBOYGAN COUNTY,15802
TAYLOR COUNTY,1810
TREMPEALEAU COUNTY,1918
VERNON COUNTY,3155
VILAS COUNTY,4389
WALWORTH COUNTY,13366
WASHBURN COUNTY,2203
WASHINGTON COUNTY,21943
WAUKESHA COUNTY,79561
WAUPACA COUNTY,6065
WAUSHARA COUNTY,2751
WINNEBAGO COUNTY,27402
WOOD COUNTY,9897
TOTAL,946742
