
County Name,Absentee Applications
ADAMS COUNTY,2174
ASHLAND COUNTY,2303
BARRON COUNTY,4549
BAYFIELD COUNTY,2928
BROWN COUNTY,45457
BUFFALO COUNTY,603
BURNETT COUNTY,1889
CALUMET COUNTY,7694
CHIPPEWA COUNTY,7939
CLARK COUNTY,1217
COLUMBIA COUNTY,7582
CRAWFORD COUNTY,1186
DANE COUNTY,141787
DODGE COUNTY,8830
DOOR COUNTY,5824
DOUGLAS COUNTY,6579
DUNN COUNTY,4671
EAU CLAIRE COUNTY,13847
FLORENCE COUNTY,777
FOND DU LAC COUNTY,10692
FOREST COUNTY,1084
GRANT COUNTY,4142
GREEN COUNTY,4664
GREEN LAKE COUNTY,2033
IOWA COUNTY,3540
IRON COUNTY,847
JACKSON COUNTY,1467
JEFFERSON COUNTY,11530
JUNEAU COUNTY,1691
KENOSHA COUNTY,23496
KEWAUNEE COUNTY,2365
LA CROSSE COUNTY,19365
LAFAYETTE COUNTY,1582
LANGLADE COUNTY,1228
LINCOLN COUNTY,3661
MANITOWOC COUNTY,9539
MARATHON COUNTY,20291
MARINETTE COUNTY,4791
MARQUETTE COUNTY,1706
MENOMINEE COUNTY,322
MILWAUKEE COUNTY,168329
MONROE COUNTY,4099
OCONTO COUNTY,4767
ONEIDA COUNTY,5915
OUTAGAMIE COUNTY,29784
OZAUKEE COUNTY,17957
PEPIN COUNTY,751
PIERCE COUNTY,5120
POLK COUNTY,4099
PORTAGE COUNTY,10943
PRICE COUNTY,1765
RACINE COUNTY,27784
RICHLAND COUNTY,2008
ROCK COUNTY,22729
RUSK COUNTY,1435
ST. CROIX COUNTY,13462
SAUK COUNTY,9411
SAWYER COUNTY,2454
SHAWANO COUNTY,4159
SHEBOYGAN COUNTY,15321
TAYLOR COUNTY,1742
TREMPEALEAU COUNTY,1861
VERNON COUNTY,3103
VILAS COUNTY,4286
WALWORTH COUNTY,12908
WASHBURN COUNTY,2155
WASHINGTON COUNTY,21167
WAUKESHA COUNTY,77212
WAUPACA COUNTY,5863
WAUSHARA COUNTY,2685
WINNEBAGO COUNTY,26553
WOOD COUNTY,9616
TOTAL,919315
