
County Name,Absentee Applications
ADAMS COUNTY,2238
ASHLAND COUNTY,2366
BARRON COUNTY,5216
BAYFIELD COUNTY,3124
BROWN COUNTY,48087
BUFFALO COUNTY,650
BURNETT COUNTY,2037
CALUMET COUNTY,8165
CHIPPEWA COUNTY,8324
CLARK COUNTY,1350
COLUMBIA COUNTY,7993
CRAWFORD COUNTY,1257
DANE COUNTY,147699
DODGE COUNTY,9362
DOOR COUNTY,6127
DOUGLAS COUNTY,6975
DUNN COUNTY,4902
EAU CLAIRE COUNTY,14613
FLORENCE COUNTY,800
FOND DU LAC COUNTY,11653
FOREST COUNTY,1099
GRANT COUNTY,4415
GREEN COUNTY,4970
GREEN LAKE COUNTY,2105
IOWA COUNTY,3685
IRON COUNTY,878
JACKSON COUNTY,1530
JEFFERSON COUNTY,12147
JUNEAU COUNTY,1794
KENOSHA COUNTY,24785
KEWAUNEE COUNTY,2447
LA CROSSE COUNTY,20246
LAFAYETTE COUNTY,1632
LANGLADE COUNTY,1297
LINCOLN COUNTY,3840
MANITOWOC COUNTY,10081
MARATHON COUNTY,21068
MARINETTE COUNTY,5089
MARQUETTE COUNTY,1773
MENOMINEE COUNTY,332
MILWAUKEE COUNTY,175088
MONROE COUNTY,4318
OCONTO COUNTY,5029
ONEIDA COUNTY,6189
OUTAGAMIE COUNTY,31529
OZAUKEE COUNTY,18785
PEPIN COUNTY,768
PIERCE COUNTY,5355
POLK COUNTY,4325
PORTAGE COUNTY,11467
PRICE COUNTY,1809
RACINE COUNTY,29376
RICHLAND COUNTY,2048
ROCK COUNTY,23888
RUSK COUNTY,1451
ST. CROIX COUNTY,14181
SAUK COUNTY,9894
SAWYER COUNTY,2633
SHAWANO COUNTY,4366
SHEBOYGAN COUNTY,16085
TAYLOR COUNTY,1834
TREMPEALEAU COUNTY,1965
VERNON COUNTY,3203
VILAS COUNTY,4468
WALWORTH COUNTY,13609
WASHBURN COUNTY,2217
WASHINGTON COUNTY,22502
WAUKESHA COUNTY,81090
WAUPACA COUNTY,6177
WAUSHARA COUNTY,2798
WINNEBAGO COUNTY,27986
WOOD COUNTY,10051
TOTAL,964635
